backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,heap,k,lane,manifest,mem_cap,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
milvus_sparse,18816.2,5.31,5027805,78.0,2.037,9762227,0-11,30000,milvus,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,635.3,1228.1,0.814,195,0.791,0.912,1.355,0,1.0,2,l3s_milvus_sparse_search_r2,tiny,4734422,557.2,paper,client_server,2026-07-07T13:07:11.223010+00:00,search
qdrant_sparse,34792.8,2.87,3876434,73.9,0.822,6292980,0-11,30000,qdrant,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,334.2,1340.0,0.746,195,0.691,0.887,2.439,0,1.0,3,l3s_qdrant_sparse_search_r3,tiny,2416546,260.3,paper,client_server,2026-07-07T13:07:22.365039+00:00,search
arcadedb_sparse_server,9835.9,10.17,3591647,29.3,0.244,28550847,0-11,30000,server:latest,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,3043.4,310.9,3.216,195,2.835,5.091,6.24,0,0.996,5,l3s_arcadedb_sparse_server_search_r5,tiny,24959200,3014.2,paper,client_server,2026-07-07T13:07:28.968927+00:00,search
milvus_sparse,18837.8,5.31,4991318,77.8,2.15,9938470,0-11,30000,milvus,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,627.9,1182.0,0.846,195,0.818,0.952,1.378,0,1.0,5,l3s_milvus_sparse_search_r5,tiny,4947152,550.1,paper,client_server,2026-07-07T13:07:47.762241+00:00,search
milvus_sparse,18831.9,5.31,4961655,78.1,1.798,9571949,0-11,30000,milvus,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,631.9,1212.1,0.825,195,0.805,0.918,1.291,0,1.0,4,l3s_milvus_sparse_search_r4,tiny,4610294,553.8,paper,client_server,2026-07-07T13:07:58.987429+00:00,search
arcadedb_sparse_server,9755.3,10.25,3567490,29.4,0.266,29254124,0-11,30000,server:latest,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,3076.6,343.2,2.914,195,2.574,4.224,5.38,0,0.996,2,l3s_arcadedb_sparse_server_search_r2,tiny,25686634,3047.1,paper,client_server,2026-07-07T13:08:09.179637+00:00,search
arcadedb_sparse_server,9838.0,10.16,3577291,29.7,0.237,28649222,0-11,30000,server:latest,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,3044.4,314.0,3.184,195,3.043,4.447,5.31,0,0.996,1,l3s_arcadedb_sparse_server_search_r1,tiny,25071931,3014.7,paper,client_server,2026-07-07T13:08:28.490590+00:00,search
qdrant_sparse,33901.7,2.95,4038212,73.3,0.773,6475827,0-11,30000,qdrant,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,331.0,1365.0,0.733,195,0.676,0.96,2.338,0,1.0,1,l3s_qdrant_sparse_search_r1,tiny,2437615,257.7,paper,client_server,2026-07-07T13:08:47.559110+00:00,search
milvus_sparse,18665.6,5.36,5142066,78.1,2.129,9907872,0-11,30000,milvus,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,623.3,1202.7,0.831,195,0.815,0.932,1.109,0,1.0,1,l3s_milvus_sparse_search_r1,tiny,4765806,545.2,paper,client_server,2026-07-07T13:08:54.004502+00:00,search
elasticsearch_sparse,5732.7,17.44,5299083,53.2,0.741,53616270,0-11,30000,9.0.0,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,3064.5,398.6,2.509,195,2.426,3.31,4.391,0,0.997,2,l3s_elasticsearch_sparse_search_r2,tiny,48317187,3011.3,paper,client_server,2026-07-07T13:09:04.210741+00:00,search
qdrant_sparse,34787.0,2.87,3903862,73.0,0.772,6301386,0-11,30000,qdrant,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,328.0,1397.8,0.715,195,0.695,0.837,1.009,0,1.0,2,l3s_qdrant_sparse_search_r2,tiny,2397524,255.0,paper,client_server,2026-07-07T13:09:32.595513+00:00,search
milvus_sparse,18776.1,5.33,4957195,78.1,1.723,9487317,0-11,30000,milvus,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,631.0,1235.4,0.809,195,0.804,0.906,1.004,0,1.0,3,l3s_milvus_sparse_search_r3,tiny,4530122,552.8,paper,client_server,2026-07-07T13:09:38.783362+00:00,search
arcadedb_sparse_embedded,17341.3,5.77,18028462,2929.7,0.474,18028462,0-11,30000,26.7.2.dev0,4g,10,l3s,20260707T130710Z,8g,,100000,200,2929.7,593.2,1.686,195,1.609,2.619,3.269,0,0.996,2,l3s_arcadedb_sparse_embedded_search_r2,tiny,,,paper,embedded,2026-07-07T13:09:48.442310+00:00,search
qdrant_sparse,35091.3,2.85,3976427,73.2,0.902,6338677,0-11,30000,qdrant,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,332.6,1284.8,0.778,195,0.679,2.071,2.994,0,1.0,5,l3s_qdrant_sparse_search_r5,tiny,2362250,259.4,paper,client_server,2026-07-07T13:10:00.907922+00:00,search
elasticsearch_sparse,5772.7,17.32,5311343,52.5,0.965,52885430,0-11,30000,9.0.0,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,3026.2,403.7,2.477,195,2.393,3.231,3.885,0,0.997,3,l3s_elasticsearch_sparse_search_r3,tiny,47574087,2973.6,paper,client_server,2026-07-07T13:10:08.012035+00:00,search
qdrant_sparse,33951.4,2.95,3922589,73.4,0.863,6391347,0-11,30000,qdrant,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,330.5,1389.6,0.72,195,0.683,0.897,2.196,0,1.0,4,l3s_qdrant_sparse_search_r4,tiny,2468758,257.1,paper,client_server,2026-07-07T13:10:36.589411+00:00,search
arcadedb_sparse_embedded,17148.3,5.83,18216810,2934.7,0.463,18216810,0-11,30000,26.7.2.dev0,4g,10,l3s,20260707T130710Z,8g,,100000,200,2934.7,618.9,1.616,195,1.458,2.504,3.272,0,0.996,3,l3s_arcadedb_sparse_embedded_search_r3,tiny,,,paper,embedded,2026-07-07T13:10:43.516778+00:00,search
elasticsearch_sparse,5655.5,17.68,5334276,52.2,0.798,53820921,0-11,30000,9.0.0,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,3081.8,401.3,2.492,195,2.364,3.521,4.356,0,0.997,4,l3s_elasticsearch_sparse_search_r4,tiny,48486645,3029.6,paper,client_server,2026-07-07T13:10:55.853829+00:00,search
arcadedb_sparse_embedded,17310.4,5.78,18184090,2935.0,0.474,18184090,0-11,30000,26.7.2.dev0,4g,10,l3s,20260707T130710Z,8g,,100000,200,2935.0,604.2,1.655,195,1.478,2.745,3.119,0,0.996,5,l3s_arcadedb_sparse_embedded_search_r5,tiny,,,paper,embedded,2026-07-07T13:11:24.663608+00:00,search
elasticsearch_sparse,5656.2,17.68,5344605,52.8,0.858,52817465,0-11,30000,9.0.0,4g,10,l3s,20260707T130710Z,8g,0.75,100000,200,3073.3,406.3,2.461,195,2.388,3.166,3.9,0,0.997,5,l3s_elasticsearch_sparse_search_r5,tiny,47472860,3020.5,paper,client_server,2026-07-07T13:11:36.823105+00:00,search
