backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
neo4j_graph,505.31,166579263,178.8,0.76,870271986,0-11,neo4j-driver:6.2.0,22652.28,22310.32,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,19982.2,,,,0,5,l2_neo4j_graph_olap_r5,21798.91,21730.76,10,medium,703692723,19803.4,paper,13715.99,13653.62,10,client_server,2026-07-08T00:55:24.298849+00:00,olap,,
arcadedb_graph_server,1106.41,28209019,23.1,0.248,1530942260,0-11,server:latest,12139.26,11915.63,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,16819.8,,,,0,5,l2_arcadedb_graph_server_olap_r5,11486.88,11370.56,10,medium,1502733241,16796.8,paper,1110.59,1044.31,10,client_server,2026-07-08T01:09:52.492373+00:00,olap,,
arcadedb_graph_server,1087.91,27850237,23.1,0.241,1504152718,0-11,server:latest,11675.1,11077.65,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,16495.1,,,,0,2,l2_arcadedb_graph_server_olap_r2,11175.86,10864.17,10,medium,1476302481,16471.9,paper,1075.15,1030.38,10,client_server,2026-07-08T01:30:50.982135+00:00,olap,,
ladybug_graph,20.48,70789366,3174.7,0.121,70789366,0-11,real_ladybug:0.15.3,272.48,267.83,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,3174.7,,,,0,5,l2_ladybug_graph_olap_r5,282.75,281.66,10,medium,,,paper,57.12,53.82,10,embedded,2026-07-08T01:51:25.777561+00:00,olap,,
ladybug_graph,20.93,54261082,3187.3,0.145,54261082,0-11,real_ladybug:0.15.3,,,,16g,1.307,1.843,2.943,5.194,6.334,7.392,l2,20260707T211743Z,32g,,1000000,2.48,3187.3,0.15,0.278,0.462,0,4,l2_ladybug_graph_oltp_r4,,,,medium,,,paper,,,,embedded,2026-07-08T01:51:50.890015+00:00,oltp,9.561,18.62
arcadedb_graph_embedded,582.27,835004363,16854.6,0.553,835004363,0-11,26.7.2.dev0,,,,16g,0.589,0.926,1.367,1.03,2.207,3.305,l2,20260707T211743Z,32g,,1000000,38.43,16854.6,0.457,0.752,0.875,0,3,l2_arcadedb_graph_embedded_oltp_r3,,,,medium,,,paper,,,,embedded,2026-07-08T01:52:15.642895+00:00,oltp,376.4,378.929
arcadedb_graph_embedded,579.09,841748686,16864.3,0.557,841748686,0-11,26.7.2.dev0,,,,16g,0.585,0.764,1.109,1.073,2.428,2.756,l2,20260707T211743Z,32g,,1000000,37.92,16864.3,0.452,0.687,0.791,0,1,l2_arcadedb_graph_embedded_oltp_r1,,,,medium,,,paper,,,,embedded,2026-07-08T02:02:38.152767+00:00,oltp,366.565,388.975
ladybug_graph,20.9,71779378,3164.0,0.133,71779378,0-11,real_ladybug:0.15.3,273.63,270.59,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,3164.0,,,,0,4,l2_ladybug_graph_olap_r4,284.36,281.07,10,medium,,,paper,59.03,55.11,10,embedded,2026-07-08T02:12:56.977901+00:00,olap,,
neo4j_graph,498.78,168378930,178.9,0.727,875673955,0-11,neo4j-driver:6.2.0,22320.04,21997.49,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,20139.2,,,,0,3,l2_neo4j_graph_olap_r3,22948.54,21735.18,10,medium,707295025,19960.3,paper,13822.54,13657.34,10,client_server,2026-07-08T02:13:22.595585+00:00,olap,,
arcadedb_graph_embedded,604.41,966610296,17121.5,0.553,966610296,0-11,26.7.2.dev0,11491.35,11415.69,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,17121.5,,,,0,1,l2_arcadedb_graph_embedded_olap_r1,10992.39,10966.78,10,medium,,,paper,995.3,953.67,10,embedded,2026-07-08T02:27:47.169289+00:00,olap,,
arcadedb_graph_embedded,595.06,964532358,17357.3,0.557,964532358,0-11,26.7.2.dev0,11305.13,11276.47,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,17357.3,,,,0,2,l2_arcadedb_graph_embedded_olap_r2,10818.78,10772.47,10,medium,,,paper,1047.53,1009.53,10,embedded,2026-07-08T02:40:14.399808+00:00,olap,,
arcadedb_graph_embedded,605.18,960889038,17605.2,0.556,960889038,0-11,26.7.2.dev0,10945.96,10576.02,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,17605.2,,,,0,4,l2_arcadedb_graph_embedded_olap_r4,10477.52,10437.89,10,medium,,,paper,1007.9,948.84,10,embedded,2026-07-08T02:52:31.224943+00:00,olap,,
arcadedb_graph_server,1069.15,28443664,22.7,0.249,1375582708,0-11,server:latest,,,,16g,1.304,1.653,2.263,1.637,2.474,3.143,l2,20260707T211743Z,32g,0.75,1000000,42.7,15772.1,0.98,1.527,1.707,0,5,l2_arcadedb_graph_server_oltp_r5,,,,medium,1347139044,15749.4,paper,,,,client_server,2026-07-08T03:04:53.714942+00:00,oltp,412.384,442.766
arcadedb_graph_server,1100.39,27975650,22.9,0.249,1511271385,0-11,server:latest,11173.27,10978.72,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,16645.0,,,,0,1,l2_arcadedb_graph_server_olap_r1,10885.6,10846.5,10,medium,1483295735,16622.1,paper,1092.49,1030.49,10,client_server,2026-07-08T03:23:28.803379+00:00,olap,,
arcadedb_graph_server,1094.14,28127963,23.3,0.243,1511891108,0-11,server:latest,11920.61,11810.95,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,16723.5,,,,0,3,l2_arcadedb_graph_server_olap_r3,11420.73,11306.86,10,medium,1483763145,16700.3,paper,1091.68,1048.03,10,client_server,2026-07-08T03:44:11.829120+00:00,olap,,
arcadedb_graph_embedded,578.32,843380934,16864.4,0.551,843380934,0-11,26.7.2.dev0,,,,16g,0.588,0.759,1.3,1.113,2.431,2.821,l2,20260707T211743Z,32g,,1000000,39.12,16864.4,0.45,0.674,0.809,0,2,l2_arcadedb_graph_embedded_oltp_r2,,,,medium,,,paper,,,,embedded,2026-07-08T04:04:56.505017+00:00,oltp,377.114,403.606
arcadedb_graph_embedded,600.63,956760883,17382.8,0.549,956760883,0-11,26.7.2.dev0,10969.67,10839.19,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,17382.8,,,,0,3,l2_arcadedb_graph_embedded_olap_r3,10313.38,10220.45,10,medium,,,paper,958.7,951.02,10,embedded,2026-07-08T04:15:15.877533+00:00,olap,,
