backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
arcadedb_graph_embedded,598.5,958871793,16960.8,0.562,958871793,0-11,26.7.2.dev0,11529.78,11371.62,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,16960.8,,,,0,5,l2_arcadedb_graph_embedded_olap_r5,11056.93,10940.62,10,medium,,,paper,1017.19,948.55,10,embedded,2026-07-07T21:17:44.203826+00:00,olap,,
arcadedb_graph_embedded,582.17,833976786,16946.8,0.562,833976786,0-11,26.7.2.dev0,,,,16g,0.56,0.732,1.139,0.905,1.648,1.997,l2,20260707T211743Z,32g,,1000000,37.91,16946.8,0.424,0.789,0.983,0,4,l2_arcadedb_graph_embedded_oltp_r4,,,,medium,,,paper,,,,embedded,2026-07-07T21:30:06.165821+00:00,oltp,371.501,375.85
arcadedb_graph_server,1072.25,28664125,23.1,0.258,1371534272,0-11,server:latest,,,,16g,1.35,1.751,2.27,1.787,2.822,3.442,l2,20260707T211743Z,32g,0.75,1000000,42.08,15617.8,1.089,1.425,1.54,0,1,l2_arcadedb_graph_server_oltp_r1,,,,medium,1342870147,15594.7,paper,,,,client_server,2026-07-07T21:40:28.350054+00:00,oltp,408.252,413.635
ladybug_graph,20.73,71254360,3292.9,0.132,71254360,0-11,real_ladybug:0.15.3,271.28,268.24,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,3292.9,,,,0,2,l2_ladybug_graph_olap_r2,281.29,278.69,10,medium,,,paper,58.45,54.3,10,embedded,2026-07-07T21:59:05.968451+00:00,olap,,
neo4j_graph,501.76,170246859,178.9,0.769,877616211,0-11,neo4j-driver:6.2.0,22504.73,22001.22,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,20013.8,,,,0,1,l2_neo4j_graph_olap_r1,22087.14,21623.18,10,medium,707369352,19835.0,paper,14449.31,13604.09,10,client_server,2026-07-07T21:59:31.305014+00:00,olap,,
neo4j_graph,498.5,169005577,179.5,0.764,511163235,0-11,neo4j-driver:6.2.0,,,,16g,4.888,6.322,15.177,4.925,6.319,7.735,l2,20260707T211743Z,32g,0.75,1000000,4.19,19941.6,5.169,7.514,9.782,0,5,l2_neo4j_graph_oltp_r5,,,,medium,342157658,19762.1,paper,,,,client_server,2026-07-07T22:13:59.410674+00:00,oltp,7.289,12.609
ladybug_graph,20.52,53396541,3023.9,0.12,53396541,0-11,real_ladybug:0.15.3,,,,16g,1.307,1.78,2.123,5.145,6.445,7.201,l2,20260707T211743Z,32g,,1000000,2.31,3023.9,0.146,0.231,0.397,0,1,l2_ladybug_graph_oltp_r1,,,,medium,,,paper,,,,embedded,2026-07-07T22:22:35.006168+00:00,oltp,9.491,11.892
arcadedb_graph_server,1066.55,28467938,23.1,0.247,1367635973,0-11,server:latest,,,,16g,1.332,1.76,2.039,1.815,2.837,3.324,l2,20260707T211743Z,32g,0.75,1000000,44.13,15611.0,1.043,1.757,1.993,0,2,l2_arcadedb_graph_server_oltp_r2,,,,medium,1339168035,15587.9,paper,,,,client_server,2026-07-07T22:22:58.838312+00:00,oltp,427.441,449.715
arcadedb_graph_embedded,579.7,839606705,16993.6,0.555,839606705,0-11,26.7.2.dev0,,,,16g,0.601,0.781,1.058,1.124,2.327,2.762,l2,20260707T211743Z,32g,,1000000,38.06,16993.6,0.462,0.679,0.789,0,5,l2_arcadedb_graph_embedded_oltp_r5,,,,medium,,,paper,,,,embedded,2026-07-07T22:41:32.892813+00:00,oltp,366.142,394.236
ladybug_graph,20.92,53902140,3265.7,0.145,53902140,0-11,real_ladybug:0.15.3,,,,16g,1.354,1.824,1.926,5.106,6.662,7.382,l2,20260707T211743Z,32g,,1000000,2.32,3265.7,0.149,0.256,0.318,0,3,l2_ladybug_graph_oltp_r3,,,,medium,,,paper,,,,embedded,2026-07-07T22:51:52.525111+00:00,oltp,9.466,11.289
neo4j_graph,500.34,169345783,179.2,0.73,511864987,0-11,neo4j-driver:6.2.0,,,,16g,4.904,6.503,11.648,4.495,6.086,8.047,l2,20260707T211743Z,32g,0.75,1000000,4.44,19964.5,4.771,7.572,9.794,0,2,l2_neo4j_graph_oltp_r2,,,,medium,342519204,19785.3,paper,,,,client_server,2026-07-07T22:52:16.947771+00:00,oltp,10.577,21.677
neo4j_graph,504.27,167132290,178.4,0.738,868882653,0-11,neo4j-driver:6.2.0,22076.84,22043.09,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,19984.7,,,,0,4,l2_neo4j_graph_olap_r4,22041.69,21650.08,10,medium,701750363,19806.2,paper,13773.39,13708.7,10,client_server,2026-07-07T23:00:54.803109+00:00,olap,,
neo4j_graph,497.88,166788221,179.1,0.783,509663305,0-11,neo4j-driver:6.2.0,,,,16g,4.697,6.268,13.261,4.866,6.794,7.588,l2,20260707T211743Z,32g,0.75,1000000,4.43,19953.5,5.363,7.859,9.409,0,4,l2_neo4j_graph_oltp_r4,,,,medium,342875084,19774.4,paper,,,,client_server,2026-07-07T23:15:19.218454+00:00,oltp,8.157,20.948
arcadedb_graph_server,1089.57,27891125,23.1,0.241,1503829667,0-11,server:latest,11740.96,11428.82,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,16535.0,,,,0,4,l2_arcadedb_graph_server_olap_r4,11193.83,11060.92,10,medium,1475938542,16511.9,paper,1089.89,1042.58,10,client_server,2026-07-07T23:23:54.664666+00:00,olap,,
arcadedb_graph_server,1084.4,28376863,23.2,0.233,1388082962,0-11,server:latest,,,,16g,1.223,1.998,2.398,1.764,2.631,3.427,l2,20260707T211743Z,32g,0.75,1000000,45.29,15436.8,1.081,1.697,1.818,0,3,l2_arcadedb_graph_server_oltp_r3,,,,medium,1359706099,15413.6,paper,,,,client_server,2026-07-07T23:44:31.686756+00:00,oltp,440.464,456.777
ladybug_graph,20.69,54170571,3122.7,0.134,54170571,0-11,real_ladybug:0.15.3,,,,16g,1.288,1.764,1.957,5.293,7.039,7.837,l2,20260707T211743Z,32g,,1000000,2.37,3122.7,0.147,0.236,0.328,0,5,l2_ladybug_graph_oltp_r5,,,,medium,,,paper,,,,embedded,2026-07-08T00:03:24.518532+00:00,oltp,9.499,11.455
ladybug_graph,21.25,71626725,3190.4,0.12,71626725,0-11,real_ladybug:0.15.3,272.03,268.78,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,3190.4,,,,0,1,l2_ladybug_graph_olap_r1,280.22,278.32,10,medium,,,paper,57.61,55.43,10,embedded,2026-07-08T00:03:48.611585+00:00,olap,,
neo4j_graph,505.98,167765258,178.6,0.742,867978622,0-11,neo4j-driver:6.2.0,22501.28,22148.86,10,16g,,,,,,,l2,20260707T211743Z,32g,0.75,1000000,,19987.1,,,,0,2,l2_neo4j_graph_olap_r2,21653.88,21521.51,10,medium,700213364,19808.4,paper,13739.6,13632.44,10,client_server,2026-07-08T00:04:14.709883+00:00,olap,,
arcadedb_graph_server,1062.49,28667333,23.1,0.24,1367518712,0-11,server:latest,,,,16g,1.331,1.833,2.211,1.772,2.718,3.25,l2,20260707T211743Z,32g,0.75,1000000,44.48,15657.8,1.175,1.588,1.821,0,4,l2_arcadedb_graph_server_oltp_r4,,,,medium,1338851379,15634.6,paper,,,,client_server,2026-07-08T00:18:43.157987+00:00,oltp,430.943,458.001
neo4j_graph,502.24,168540042,179.4,0.749,511909668,0-11,neo4j-driver:6.2.0,,,,16g,4.924,6.121,16.328,4.83,6.671,7.886,l2,20260707T211743Z,32g,0.75,1000000,4.21,19967.3,4.96,8.501,9.921,0,3,l2_neo4j_graph_oltp_r3,,,,medium,343369626,19787.9,paper,,,,client_server,2026-07-08T00:37:13.295835+00:00,oltp,7.625,12.775
neo4j_graph,503.49,167680086,179.8,0.768,512829609,0-11,neo4j-driver:6.2.0,,,,16g,4.76,6.03,14.313,4.752,6.675,8.157,l2,20260707T211743Z,32g,0.75,1000000,4.59,20104.2,5.181,9.208,10.424,0,1,l2_neo4j_graph_oltp_r1,,,,medium,345149523,19924.4,paper,,,,client_server,2026-07-08T00:45:52.968211+00:00,oltp,10.839,22.139
ladybug_graph,20.93,54314498,3295.8,0.129,54314498,0-11,real_ladybug:0.15.3,,,,16g,1.327,1.759,1.906,5.411,7.067,7.5,l2,20260707T211743Z,32g,,1000000,2.85,3295.8,0.143,0.248,0.323,0,2,l2_ladybug_graph_oltp_r2,,,,medium,,,paper,,,,embedded,2026-07-08T00:54:34.113824+00:00,oltp,14.987,19.075
ladybug_graph,20.75,71172748,3186.3,0.121,71172748,0-11,real_ladybug:0.15.3,270.17,266.27,10,16g,,,,,,,l2,20260707T211743Z,32g,,1000000,,3186.3,,,,0,3,l2_ladybug_graph_olap_r3,281.9,277.5,10,medium,,,paper,57.02,55.4,10,embedded,2026-07-08T00:54:58.950438+00:00,olap,,
