backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,k,lane,manifest,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
milvus_sparse,26051.9,38.38,34844573,172.5,2.076,69957548,0-11,30000,milvus,10,l3s,20260707T074835Z,0.75,1000000,500,2954.3,645.9,1.548,495,1.53,1.868,2.009,0,1.0,1,l3s_milvus_sparse_search_r1,small,35112975,2781.8,paper,client_server,2026-07-07T07:48:36.097288+00:00,search
arcadedb_sparse_server,12033.7,83.1,22166374,28.7,0.277,248825660,0-11,30000,server:latest,10,l3s,20260707T074835Z,0.75,1000000,500,2884.6,92.4,10.823,495,10.601,13.213,14.695,0,0.9902,1,l3s_arcadedb_sparse_server_search_r1,small,226659286,2855.9,paper,client_server,2026-07-07T07:49:20.917617+00:00,search
qdrant_sparse,34468.9,29.01,23221002,83.0,0.768,60459316,0-11,30000,qdrant,10,l3s,20260707T074835Z,0.75,1000000,500,1745.8,720.4,1.388,495,1.373,1.686,1.841,0,1.0,1,l3s_qdrant_sparse_search_r1,small,37238314,1662.8,paper,client_server,2026-07-07T07:52:53.147732+00:00,search
elasticsearch_sparse,7847.5,127.43,48845789,58.4,0.619,165906301,0-11,30000,9.0.0,10,l3s,20260707T074835Z,0.75,1000000,500,5007.8,316.6,3.159,495,3.02,4.203,5.174,0,0.991,1,l3s_elasticsearch_sparse_search_r1,small,117060512,4949.5,paper,client_server,2026-07-07T07:53:25.869004+00:00,search
arcadedb_sparse_embedded,13432.2,74.45,229074381,2646.1,0.486,229074381,0-11,30000,26.7.2.dev0,10,l3s,20260707T074835Z,,1000000,500,2646.1,117.7,8.495,495,8.264,10.397,11.388,0,0.9902,1,l3s_arcadedb_sparse_embedded_search_r1,small,,,paper,embedded,2026-07-07T07:55:45.187959+00:00,search
