backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,error,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
arcadedb_graph_server,,1103.25,28206969,19.7,0.1,20.2,23.1,0.237,1370454541,0-11,,14091.0,server:latest,,,,,16g,1.383,1.937,2.213,1.758,2.76,3.394,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,1.24,14091.6,15868.2,1.177,1.451,1.774,,,,,,,0,,,,,,,2,l2_arcadedb_graph_server_oltp_r2,,,,medium,,1342247572,14071.3,1599.8,14071.3,15845.1,paper,,,,client_server,2026-07-11T08:52:30.213304+00:00,,,,,,oltp,1.456,1.892
arcadedb_sparse_embedded_nocompact,17806.3,561.6,830521189,2378.5,3873.2,16889.1,21311.1,0.507,830521189,0-11,30000,2378.5,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16889.1,21311.1,,,,12.4,80.923,95,79.214,98.379,105.761,0,,,,,,0.993,4,l3s_arcadedb_sparse_embedded_nocompact_search_r4,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T09:10:57.788559+00:00,,,,,,search,,
postgres,,,56694797,22.0,0.8,83.8,91.0,0.127,186178582,0-11,,27.7,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,326871.5,61.19,,,,,,,l1,20260711T035309Z,32g,0.75,,,,20000000,716.608,422.126,403.744,683.889,1010.864,3237.231,,,133.9,4067.6,,,,,,,,,,0,,,,,,,4,l1_postgres_olap_r4,,,,medium,0.008,129483785,5.7,3711.0,50.2,3976.6,paper,,,,client_server,2026-07-11T09:24:07.848905+00:00,,,,,,olap,,
arcadedb_graph_server,,1094.4,28205313,19.7,0.1,19.9,22.8,0.24,1359887100,0-11,,14298.0,server:latest,,,,,16g,1.208,1.601,1.931,1.756,2.581,3.549,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,1.21,14308.5,16135.7,1.139,1.665,1.839,,,,,,,0,,,,,,,1,l2_arcadedb_graph_server_oltp_r1,,,,medium,,1331681787,14278.3,1599.8,14288.5,16112.9,paper,,,,client_server,2026-07-11T09:25:38.932864+00:00,,,,,,oltp,1.611,2.035
arcadedb_graph_embedded,,603.24,819532264,1322.8,1576.0,14871.3,16933.3,0.559,819532264,0-11,,1322.8,26.8.1.dev0,,,,,16g,0.551,0.758,0.991,0.878,1.657,2.092,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,0.6,14871.3,16933.3,0.44,0.759,1.025,,,,,,,0,,,,,,,2,l2_arcadedb_graph_embedded_oltp_r2,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T09:43:57.701693+00:00,,,,,,oltp,0.812,0.984
ladybug_graph,,21.06,59698083,1288.1,410.7,2241.0,3147.5,0.125,59698083,0-11,,1288.1,ladybug:0.18.1,,,,,16g,1.367,1.893,2.883,5.261,6.559,7.168,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,2.37,2241.0,3147.5,0.18,0.294,0.46,,,,,,,0,,,,,,,4,l2_ladybug_graph_oltp_r4,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T09:54:03.319806+00:00,,,,,,oltp,9.7,11.176
duckdb,,,98000028,332.1,815.4,2129.6,2817.9,0.053,98000028,0-11,,332.1,1.5.4,,,,,16g,,,,,,,326798.4,61.2,8.6369,1006,8.6119,9.6227,9.9334,,l1,20260711T035309Z,32g,,,,,20000000,,,,,,,267.2,,2129.6,2817.9,,,,,,,,,,0,1.1913,3068,1.1051,1.967,2.7339,,3,l1_duckdb_oltp_r3,,,,medium,0.024,,,,,,paper,,,,embedded,2026-07-11T09:54:27.947329+00:00,6.8752,926,8.1102,9.3936,11.5937,oltp,,
arcadedb_sparse_embedded,17374.8,575.55,846817364,5193.1,3857.7,16913.3,22029.8,0.517,846817364,0-11,30000,5193.1,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16913.3,22029.8,,,,18.3,54.654,95,53.79,66.026,70.228,0,,,,,,0.993,5,l3s_arcadedb_sparse_embedded_search_r5,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T09:55:49.919141+00:00,,,,,,search,,
arcadedb_server,,,83585641,17.5,0.1,17.6,21.2,0.051,784325532,0-11,,12846.6,server:latest,,,,,16g,,,,,,,27517.0,726.82,1.0044,1006,0.977,1.2347,1.3741,,l1,20260711T035309Z,32g,0.75,,,,20000000,,,,,,,1320.4,,12889.3,15386.1,,,,,,,,,,0,0.6737,3068,0.6324,0.9194,1.0777,,1,l1_arcadedb_server_oltp_r1,,,,medium,0.202,700739891,12829.2,2337.4,12871.7,15364.9,paper,,,,client_server,2026-07-11T10:09:14.730245+00:00,0.766,926,0.7352,1.0429,1.2075,oltp,,
ladybug_graph,,21.47,75049857,1235.9,385.1,2447.1,3214.6,0.125,75049857,0-11,,1235.9,ladybug:0.18.1,,273.52,271.93,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,,2447.1,3214.6,,,,,,,,,,0,,,,,,,5,l2_ladybug_graph_olap_r5,283.1,279.48,10,medium,,,,,,,paper,42.55,40.53,10,embedded,2026-07-11T10:21:28.707418+00:00,,,,,,olap,,
qdrant_sparse,26351.9,379.48,256970705,67.5,1.1,67.5,74.0,0.789,960621846,0-11,30000,3007.5,qdrant,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,5008.4,8559.4,,,,182.3,5.487,95,5.421,5.922,6.126,0,,,,,,1.0,4,l3s_qdrant_sparse_search_r4,,,,medium,,703651141,2940.0,443.9,4940.9,8485.4,paper,,,,client_server,2026-07-11T10:21:54.810465+00:00,,,,,,search,,
milvus_sparse,22785.5,438.88,405308508,71.0,0.7,71.0,78.6,2.361,1323517109,0-11,30000,6116.2,milvus,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,8632.2,16799.2,,,,150.4,6.65,95,6.62,8.699,8.981,0,,,,,,1.0,3,l3s_milvus_sparse_search_r3,,,,medium,,918208601,6045.2,7975.1,8561.2,16720.6,paper,,,,client_server,2026-07-11T10:28:18.346990+00:00,,,,,,search,,
duckdb,,,97897286,1077.7,700.0,2041.8,2709.8,0.054,97897286,0-11,,1077.7,1.5.4,,,,,16g,,,,,,,323005.1,61.92,8.6329,1006,8.6416,9.6458,10.14,,l1,20260711T035309Z,32g,,,,,20000000,,,,,,,268.8,,2041.8,2709.8,,,,,,,,,,0,1.1616,3068,1.073,1.9459,2.6446,,5,l1_duckdb_oltp_r5,,,,medium,0.023,,,,,,paper,,,,embedded,2026-07-11T10:35:43.233610+00:00,6.8599,926,8.1495,9.31,9.9327,oltp,,
arcadedb_embedded,,,831519320,634.6,2325.5,13110.1,15533.5,0.369,831519320,0-11,,634.6,26.8.1.dev0,"r.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 280, in query_all
    return self.db.query(""sql"", sql, *(params or ())).to_json_list()
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/arcadedb_embedded/core.py"", line 112, in query
    raise ArcadeDBError(f""Query failed: {e}"") from e
arcadedb_embedded.exceptions.ArcadeDBError: Query failed: com.arcadedb.exception.CommandExecutionException: Limit of allowed groups for in-heap GROUP BY in a single query exceeded (500000). You can set arcadedb.queryMaxHeapElementsAllowedPerOp to increase this limit
",,,,16g,,,,,,,44659.0,44.78,,,,,,,l1,20260711T035309Z,32g,,,,,2000000,1685.394,1182.823,1196.623,1310.515,1452.903,6828.258,,,13110.1,15533.5,,,,,,,,,,1,,,,,,,2,l1_arcadedb_embedded_olap_r2,,,,medium,0.163,,,,,,paper,,,,embedded,2026-07-11T10:37:05.667928+00:00,,,,,,olap,,
arcadedb_graph_embedded,,621.24,985108154,6507.3,1576.4,15033.9,17126.8,0.561,985108154,0-11,,6507.3,26.8.1.dev0,,11564.33,11312.32,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,,15033.9,17126.8,,,,,,,,,,0,,,,,,,3,l2_arcadedb_graph_embedded_olap_r3,10876.7,10796.32,10,medium,,,,,,,paper,1014.17,952.03,10,embedded,2026-07-11T10:50:11.534108+00:00,,,,,,olap,,
neo4j_graph,,487.93,166977161,173.2,1.1,173.2,179.0,0.731,510383936,0-11,,17862.0,neo4j-driver:6.2.0,,,,,16g,4.702,6.368,15.645,4.66,6.531,8.005,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,4.2,17862.0,20111.4,5.264,8.497,9.185,,,,,,,0,,,,,,,3,l2_neo4j_graph_oltp_r3,,,,medium,,343406775,17688.8,2070.3,17688.8,19932.4,paper,,,,client_server,2026-07-11T11:02:55.412300+00:00,,,,,,oltp,7.585,12.974
neo4j_graph,,490.01,167889582,89.4,1.0,173.1,179.0,0.748,513149930,0-11,,17807.7,neo4j-driver:6.2.0,,,,,16g,4.829,6.549,17.587,4.709,6.511,7.453,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,4.17,17891.4,19961.2,4.982,7.867,9.769,,,,,,,0,,,,,,,1,l2_neo4j_graph_oltp_r1,,,,medium,,345260348,17718.3,1901.8,17718.3,19782.1,paper,,,,client_server,2026-07-11T11:11:19.585008+00:00,,,,,,oltp,7.299,12.583
elasticsearch_sparse,6260.9,1597.21,380838345,47.9,0.8,47.9,53.6,0.751,1596523330,0-11,30000,2771.8,9.4.1,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,2771.8,7990.9,,,,102.9,9.721,95,9.155,14.907,22.362,0,,,,,,0.91,4,l3s_elasticsearch_sparse_search_r4,,,,medium,,1215684985,2723.9,2462.6,2723.9,7937.3,paper,,,,client_server,2026-07-11T11:19:45.885984+00:00,,,,,,search,,
arcadedb_graph_embedded,,600.45,820812250,4518.7,1576.3,14969.2,17031.7,0.57,820812250,0-11,,4518.7,26.8.1.dev0,,,,,16g,0.586,0.76,1.079,0.944,1.745,1.993,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,0.61,14969.2,17031.7,0.419,0.759,0.937,,,,,,,0,,,,,,,3,l2_arcadedb_graph_embedded_oltp_r3,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T11:46:43.172894+00:00,,,,,,oltp,0.858,1.031
arcadedb_embedded,,,706580842,324.3,2268.8,12942.6,15744.5,0.385,706580842,0-11,,324.3,26.8.1.dev0,,,,,16g,,,,,,,30394.6,658.01,0.454,1006,0.3728,0.4927,0.5503,,l1,20260711T035309Z,32g,,,,,20000000,,,,,,,5429.4,,12942.6,15744.5,,,,,,,,,,0,0.0869,3068,0.0785,0.1485,0.1906,,3,l1_arcadedb_embedded_oltp_r3,,,,medium,0.171,,,,,,paper,,,,embedded,2026-07-11T11:56:46.042867+00:00,0.2133,926,0.2018,0.3555,0.4512,oltp,,
arcadedb_sparse_server,10159.0,984.35,213767524,1.4,0.1,24.9,28.8,5.48,1340528387,0-11,30000,16825.8,server:26.8.1-SNAPSHOT (build d758998ce9854d21aadce81987cd1dc036488c49/1783718348989/main),,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,16885.3,22161.6,,,,15.3,65.264,95,64.571,81.476,85.143,0,,,,,,0.993,4,l3s_arcadedb_sparse_server_search_r4,,,,medium,,1126760863,16824.4,3911.4,16860.4,22132.8,paper,,,,client_server,2026-07-11T12:07:46.987742+00:00,,,,,,search,,
arcadedb_sparse_embedded_fp32,16972.5,589.19,864891274,1291.1,4728.4,16913.0,23927.4,0.522,864891274,0-11,30000,1291.1,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16913.0,23927.4,,,,16.6,60.394,95,59.449,73.315,79.034,0,,,,,,1.0,3,l3s_arcadedb_sparse_embedded_fp32_search_r3,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T12:28:28.375586+00:00,,,,,,search,,
ladybug_graph,,21.16,59711016,2277.2,405.2,2308.7,3291.4,0.123,59711016,0-11,,2277.2,ladybug:0.18.1,,,,,16g,1.383,1.826,2.245,5.302,6.512,7.434,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,2.39,2308.7,3291.4,0.165,0.263,0.522,,,,,,,0,,,,,,,1,l2_ladybug_graph_oltp_r1,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T12:42:09.260164+00:00,,,,,,oltp,9.921,11.986
postgres,,,55070527,93.8,0.8,93.8,100.9,0.115,184743771,0-11,,99.5,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,332241.4,60.2,,,,,,,l1,20260711T035309Z,32g,0.75,,,,20000000,726.747,428.982,409.377,688.757,1015.743,3269.606,,,144.0,4078.0,,,,,,,,,,0,,,,,,,2,l1_postgres_olap_r2,,,,medium,0.019,129673244,5.7,3711.5,50.2,3977.1,paper,,,,client_server,2026-07-11T12:42:33.878457+00:00,,,,,,olap,,
duckdb,,,98580831,348.5,815.2,2084.0,2777.1,0.053,98580831,0-11,,348.5,1.5.4,,,,,16g,,,,,,,321398.8,62.23,8.6391,1006,8.6132,9.6861,10.0232,,l1,20260711T035309Z,32g,,,,,20000000,,,,,,,267.5,,2084.0,2777.1,,,,,,,,,,0,1.1886,3068,1.1048,2.0369,3.291,,4,l1_duckdb_oltp_r4,,,,medium,0.024,,,,,,paper,,,,embedded,2026-07-11T12:44:04.005328+00:00,6.8606,926,8.1115,9.3591,11.3481,oltp,,
arcadedb_graph_server,,1123.93,28039875,19.7,0.1,20.1,23.0,0.249,1550576341,0-11,,15214.0,server:latest,,12289.9,12028.92,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,15214.4,16927.1,,,,,,,,,,0,,,,,,,1,l2_arcadedb_graph_server_olap_r1,11548.11,11424.62,10,medium,,1522536466,15194.3,1626.4,15194.3,16904.1,paper,1080.75,1037.67,10,client_server,2026-07-11T12:45:26.981685+00:00,,,,,,olap,,
arcadedb_graph_server,,1116.28,28170974,19.7,0.1,19.7,22.8,0.253,1537880102,0-11,,15202.6,server:latest,,11863.49,11687.77,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,15202.6,16867.2,,,,,,,,,,0,,,,,,,2,l2_arcadedb_graph_server_olap_r2,11127.56,10817.98,10,medium,,1509709128,15183.0,1576.6,15183.0,16844.4,paper,1100.27,1050.3,10,client_server,2026-07-11T13:06:43.737971+00:00,,,,,,olap,,
postgres,,,55570117,22.0,0.8,90.1,97.4,0.115,184304481,0-11,,27.7,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,329069.8,60.78,,,,,,,l1,20260711T035309Z,32g,0.75,,,,20000000,724.259,419.207,400.407,682.85,1000.906,3227.629,,,140.4,4074.0,,,,,,,,,,0,,,,,,,5,l1_postgres_olap_r5,,,,medium,0.018,128734364,5.7,3711.0,50.4,3976.6,paper,,,,client_server,2026-07-11T13:27:47.926722+00:00,,,,,,olap,,
arcadedb_graph_embedded,,608.98,827205439,749.3,1576.3,14826.4,16892.0,0.556,827205439,0-11,,749.3,26.8.1.dev0,,,,,16g,0.569,0.744,1.07,0.89,1.654,2.113,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,0.6,14826.4,16892.0,0.417,0.76,0.985,,,,,,,0,,,,,,,1,l2_arcadedb_graph_embedded_oltp_r1,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T13:29:18.304953+00:00,,,,,,oltp,0.782,1.125
qdrant_sparse,25564.7,391.17,257977379,67.5,1.0,67.5,73.6,0.799,983470025,0-11,30000,2962.6,qdrant,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,4757.8,8820.0,,,,188.7,5.3,95,5.134,6.504,7.106,0,,,,,,1.0,5,l3s_qdrant_sparse_search_r5,,,,medium,,725492646,2895.1,439.2,4690.3,8746.4,paper,,,,client_server,2026-07-11T13:39:29.676572+00:00,,,,,,search,,
arcadedb_server,,,83048407,17.4,0.1,17.6,21.1,0.05,936806498,0-11,,12994.9,server:latest,"Traceback (most recent call last):
  File ""/work/l1_tabular.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 332, in query_all
    return self._post(""query"", sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/work/l1_tabular.py"", line 319, in _post
    r.raise_for_status()
  File ""/usr/local/lib/python3.12/site-packages/requests/models.py"", line 1167, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 500 Server Error: Internal Server Error for url: http://srv-l1_arcadedb_server_olap_r4:2480/api/v1/query/bench
",,,,16g,,,,,,,38206.1,52.35,,,,,,,l1,20260711T035309Z,32g,0.75,,,,2000000,1834.299,1269.381,1273.223,1425.919,1607.736,7410.558,,,12995.6,15403.2,,,,,,,,,,1,,,,,,,4,l1_arcadedb_server_olap_r4,,,,medium,0.192,853758091,12977.4,2298.1,12978.0,15382.2,paper,,,,client_server,2026-07-11T13:46:04.995266+00:00,,,,,,olap,,
arcadedb_sparse_embedded_nocompact,17569.2,569.18,846091734,6109.5,3873.1,16906.2,21325.4,0.486,846091734,0-11,30000,6109.5,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16906.2,21325.4,,,,12.1,82.66,95,81.227,100.683,110.26,0,,,,,,0.993,3,l3s_arcadedb_sparse_embedded_nocompact_search_r3,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T14:00:50.211981+00:00,,,,,,search,,
neo4j_graph,,495.02,171742986,173.3,1.1,173.3,179.0,0.752,879060104,0-11,,17851.5,neo4j-driver:6.2.0,,22098.67,22089.59,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,17855.7,20131.2,,,,,,,,,,0,,,,,,,2,l2_neo4j_graph_olap_r2,23278.86,21821.52,10,medium,,707317118,17678.2,2167.3,17682.4,19952.2,paper,13992.37,13652.05,10,client_server,2026-07-11T14:14:12.763904+00:00,,,,,,olap,,
arcadedb_sparse_embedded_nocompact,17593.0,568.41,838670980,3544.4,3873.1,16890.1,21336.3,0.501,838670980,0-11,30000,3544.4,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16890.1,21336.3,,,,11.8,84.885,95,83.768,104.185,111.41,0,,,,,,0.993,1,l3s_arcadedb_sparse_embedded_nocompact_search_r1,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T14:28:35.964795+00:00,,,,,,search,,
arcadedb_server,,,82302323,17.4,0.8,17.6,21.9,0.049,931508923,0-11,,13007.9,server:latest,"Traceback (most recent call last):
  File ""/work/l1_tabular.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 332, in query_all
    return self._post(""query"", sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/work/l1_tabular.py"", line 319, in _post
    r.raise_for_status()
  File ""/usr/local/lib/python3.12/site-packages/requests/models.py"", line 1167, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 500 Server Error: Internal Server Error for url: http://srv-l1_arcadedb_server_olap_r1:2480/api/v1/query/bench
",,,,16g,,,,,,,37659.8,53.11,,,,,,,l1,20260711T035309Z,32g,0.75,,,,2000000,1814.268,1284.538,1277.111,1426.6,1621.337,7423.854,,,13010.6,15392.0,,,,,,,,,,1,,,,,,,1,l1_arcadedb_server_olap_r1,,,,medium,0.197,849206600,12990.5,2278.4,12993.0,15370.2,paper,,,,client_server,2026-07-11T14:41:58.510603+00:00,,,,,,olap,,
arcadedb_graph_server,,1124.8,28186608,19.7,0.1,20.2,22.8,0.242,1548010063,0-11,,15481.6,server:latest,,11875.36,11679.72,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,15505.4,17195.1,,,,,,,,,,0,,,,,,,4,l2_arcadedb_graph_server_olap_r4,11069.61,11000.87,10,medium,,1519823455,15461.9,1597.9,15485.2,17172.4,paper,1120.51,1057.7,10,client_server,2026-07-11T14:56:39.461435+00:00,,,,,,olap,,
arcadedb_embedded,,,853166657,7967.5,2274.1,13108.8,15479.5,0.365,853166657,0-11,,7967.5,26.8.1.dev0,"r.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 280, in query_all
    return self.db.query(""sql"", sql, *(params or ())).to_json_list()
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/arcadedb_embedded/core.py"", line 112, in query
    raise ArcadeDBError(f""Query failed: {e}"") from e
arcadedb_embedded.exceptions.ArcadeDBError: Query failed: com.arcadedb.exception.CommandExecutionException: Limit of allowed groups for in-heap GROUP BY in a single query exceeded (500000). You can set arcadedb.queryMaxHeapElementsAllowedPerOp to increase this limit
",,,,16g,,,,,,,44031.7,45.42,,,,,,,l1,20260711T035309Z,32g,,,,,2000000,1693.997,1178.766,1216.351,1307.125,1483.674,6879.913,,,13108.8,15479.5,,,,,,,,,,1,,,,,,,1,l1_arcadedb_embedded_olap_r1,,,,medium,0.166,,,,,,paper,,,,embedded,2026-07-11T15:17:52.139205+00:00,,,,,,olap,,
postgres,,,56150827,87.6,0.8,87.6,94.5,0.118,115268007,0-11,,92.2,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,331923.7,60.25,2.447,1006,2.4644,2.7857,2.9395,,l1,20260711T035309Z,32g,0.75,,,,20000000,,,,,,,524.6,,102.2,3932.2,,,,,,,,,,0,1.1443,3068,1.023,1.6736,1.8129,,4,l1_postgres_oltp_r4,,,,medium,0.018,59117180,4.6,3712.3,14.6,3837.7,paper,,,,client_server,2026-07-11T15:31:19.045811+00:00,3.8437,926,3.8047,4.5262,4.8727,oltp,,
arcadedb_graph_embedded,,604.88,828339085,7931.1,1576.4,14808.9,16899.1,0.568,828339085,0-11,,7931.1,26.8.1.dev0,,,,,16g,0.586,0.758,1.034,0.911,1.728,2.102,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,0.6,14808.9,16899.1,0.455,0.733,0.907,,,,,,,0,,,,,,,5,l2_arcadedb_graph_embedded_oltp_r5,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T15:32:32.911928+00:00,,,,,,oltp,0.826,0.974
arcadedb_graph_embedded,,617.8,977779603,8283.4,1576.4,15997.1,17656.7,0.556,977779603,0-11,,8283.4,26.8.1.dev0,,10986.76,10828.23,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,,15997.1,17656.7,,,,,,,,,,0,,,,,,,1,l2_arcadedb_graph_embedded_olap_r1,10414.09,10266.95,10,medium,,,,,,,paper,1011.29,959.94,10,embedded,2026-07-11T15:42:40.280790+00:00,,,,,,olap,,
arcadedb_server,,,85184333,17.5,0.3,17.6,21.3,0.051,797887266,0-11,,12859.1,server:latest,,,,,16g,,,,,,,27041.3,739.61,0.9921,1006,0.9811,1.185,1.3107,,l1,20260711T035309Z,32g,0.75,,,,20000000,,,,,,,1331.3,,12887.7,15357.1,,,,,,,,,,0,0.6682,3068,0.6528,0.8422,0.9505,,3,l1_arcadedb_server_oltp_r3,,,,medium,0.195,712702933,12841.6,2310.4,12870.1,15335.8,paper,,,,client_server,2026-07-11T15:55:14.888472+00:00,0.7641,926,0.7563,0.9437,1.0763,oltp,,
arcadedb_graph_embedded,,629.94,995016630,8773.9,1576.3,14937.8,16958.8,0.561,995016630,0-11,,8773.9,26.8.1.dev0,,11565.36,11441.95,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,,14937.8,16958.8,,,,,,,,,,0,,,,,,,4,l2_arcadedb_graph_embedded_olap_r4,10237.18,10085.21,10,medium,,,,,,,paper,1013.07,955.91,10,embedded,2026-07-11T16:07:41.372246+00:00,,,,,,olap,,
arcadedb_sparse_server,10125.8,987.58,217513220,24.3,0.1,24.7,29.3,5.199,1374157825,0-11,30000,16849.5,server:26.8.1-SNAPSHOT (build d758998ce9854d21aadce81987cd1dc036488c49/1783718348989/main),,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,16867.4,21788.3,,,,14.9,67.309,95,65.802,78.32,94.362,0,,,,,,0.993,2,l3s_arcadedb_sparse_server_search_r2,,,,medium,,1156644605,16825.1,3881.7,16842.7,21759.0,paper,,,,client_server,2026-07-11T16:20:30.516765+00:00,,,,,,search,,
milvus_sparse,22514.0,444.17,410487888,71.0,1.4,71.0,79.2,2.155,1366610132,0-11,30000,5042.7,milvus,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,10644.4,18259.4,,,,117.0,8.545,95,8.38,11.458,13.24,0,,,,,,1.0,1,l3s_milvus_sparse_search_r1,,,,medium,,956122244,4971.7,6886.8,10573.4,18180.2,paper,,,,client_server,2026-07-11T16:41:45.439748+00:00,,,,,,search,,
