backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,error,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
postgres,,,56219361,22.1,0.8,96.2,103.5,0.115,115023004,0-11,,26.8,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,328503.9,60.88,2.4299,1006,2.446,2.8117,2.9867,,l1,20260711T035309Z,32g,0.75,,,,20000000,,,,,,,531.4,,110.8,3942.2,,,,,,,,,,0,1.1151,3068,1.0079,1.659,1.7676,,1,l1_postgres_oltp_r1,,,,medium,0.018,58803643,4.6,3713.3,14.6,3838.8,paper,,,,client_server,2026-07-11T05:41:07.160516+00:00,3.8273,926,3.7875,4.5222,4.7277,oltp,,
ladybug_graph,,20.89,59722035,2294.4,404.1,2294.4,3150.0,0.125,59722035,0-11,,2294.4,ladybug:0.18.1,,,,,16g,1.372,1.855,2.28,5.487,7.252,7.822,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,2.42,2294.4,3150.0,0.165,0.272,0.464,,,,,,,0,,,,,,,3,l2_ladybug_graph_oltp_r3,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T05:42:21.475177+00:00,,,,,,oltp,9.613,11.792
arcadedb_embedded,,,832170345,6465.4,2302.3,13118.9,15518.9,0.363,832170345,0-11,,6465.4,26.8.1.dev0,"r.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 280, in query_all
    return self.db.query(""sql"", sql, *(params or ())).to_json_list()
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/arcadedb_embedded/core.py"", line 112, in query
    raise ArcadeDBError(f""Query failed: {e}"") from e
arcadedb_embedded.exceptions.ArcadeDBError: Query failed: com.arcadedb.exception.CommandExecutionException: Limit of allowed groups for in-heap GROUP BY in a single query exceeded (500000). You can set arcadedb.queryMaxHeapElementsAllowedPerOp to increase this limit
",,,,16g,,,,,,,43311.9,46.18,,,,,,,l1,20260711T035309Z,32g,,,,,2000000,1673.457,1214.503,1218.351,1304.312,1461.284,6871.907,,,13118.9,15518.9,,,,,,,,,,1,,,,,,,5,l1_arcadedb_embedded_olap_r5,,,,medium,0.17,,,,,,paper,,,,embedded,2026-07-11T05:42:45.848482+00:00,,,,,,olap,,
arcadedb_sparse_embedded_nocompact,18012.9,555.16,826608682,537.5,3873.2,16902.3,21346.1,0.513,826608682,0-11,30000,537.5,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16902.3,21346.1,,,,12.7,79.047,95,77.824,96.166,104.61,0,,,,,,0.993,2,l3s_arcadedb_sparse_embedded_nocompact_search_r2,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T05:55:51.692213+00:00,,,,,,search,,
arcadedb_graph_embedded,,621.74,984549510,1463.0,1576.4,15906.2,17616.1,0.556,984549510,0-11,,1463.0,26.8.1.dev0,,11261.25,10983.46,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,,15906.2,17616.1,,,,,,,,,,0,,,,,,,2,l2_arcadedb_graph_embedded_olap_r2,10624.03,10559.86,10,medium,,,,,,,paper,957.9,952.06,10,embedded,2026-07-11T06:08:54.957605+00:00,,,,,,olap,,
arcadedb_sparse_embedded_fp32,17332.9,576.94,854899776,2956.8,4728.4,16907.3,23923.1,0.497,854899776,0-11,30000,2956.8,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16907.3,23923.1,,,,17.8,56.23,95,55.33,67.827,71.688,0,,,,,,1.0,4,l3s_arcadedb_sparse_embedded_fp32_search_r4,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T06:21:36.343479+00:00,,,,,,search,,
arcadedb_sparse_embedded_fp32,17361.3,575.99,851029574,6431.0,4728.4,16912.4,23876.3,0.51,851029574,0-11,30000,6431.0,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16912.4,23876.3,,,,17.7,56.519,95,55.607,68.234,76.853,0,,,,,,1.0,1,l3s_arcadedb_sparse_embedded_fp32_search_r1,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T06:35:05.181055+00:00,,,,,,search,,
arcadedb_sparse_embedded_fp32,17349.1,576.4,850486528,3050.9,4728.4,16918.6,23927.5,0.513,850486528,0-11,30000,3050.9,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16918.6,23927.5,,,,17.2,58.182,95,57.172,70.334,73.781,0,,,,,,1.0,5,l3s_arcadedb_sparse_embedded_fp32_search_r5,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T06:48:28.780357+00:00,,,,,,search,,
duckdb,,,87987589,300.6,651.2,2078.5,2768.7,0.051,87987589,0-11,,300.6,1.5.4,,,,,16g,,,,,,,330265.1,60.56,,,,,,,l1,20260711T035309Z,32g,,,,,20000000,14.299,15.696,10.542,8.716,62.331,111.584,,,2078.5,2768.7,,,,,,,,,,0,,,,,,,2,l1_duckdb_olap_r2,,,,medium,0.023,,,,,,paper,,,,embedded,2026-07-11T07:01:49.887240+00:00,,,,,,olap,,
postgres,,,51822908,122.0,0.8,122.0,129.3,0.114,179035295,0-11,,127.6,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,339304.9,58.94,,,,,,,l1,20260711T035309Z,32g,0.75,,,,20000000,700.602,421.19,403.161,684.473,1009.182,3218.608,,,172.3,4106.2,,,,,,,,,,0,,,,,,,3,l1_postgres_olap_r3,,,,medium,0.018,127212387,5.7,3710.9,50.3,3976.9,paper,,,,client_server,2026-07-11T07:02:52.323255+00:00,,,,,,olap,,
