backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
arcadedb_graph_server,3.36,199413,21.4,0.229,16125205,0-11,server:latest,17.51,16.27,10,4g,,,,,,,l2,20260707T203650Z,8g,0.75,2000,,1139.4,,,,0,1,l2_arcadedb_graph_server_olap_r1,15.27,13.11,10,micro,15925792,1117.9,paper,7.04,6.03,10,client_server,2026-07-07T20:36:50.569432+00:00,olap,,
neo4j_graph,2.17,1916400,91.3,0.813,29929380,0-11,neo4j-driver:6.2.0,,,,4g,7.977,9.247,11.288,6.424,9.595,28.454,l2,20260707T203650Z,8g,0.75,2000,2.22,5171.9,8.333,10.666,12.196,0,1,l2_neo4j_graph_oltp_r1,,,,micro,28012980,5080.6,paper,,,,client_server,2026-07-07T20:36:57.397658+00:00,oltp,14.534,20.443
ladybug_graph,0.26,1649955,231.9,0.138,1649955,0-11,real_ladybug:0.15.3,,,,4g,0.708,1.181,1.353,3.467,3.693,3.785,l2,20260707T203650Z,8g,,2000,0.99,231.9,0.145,0.228,0.29,0,1,l2_ladybug_graph_oltp_r1,,,,micro,,,paper,,,,embedded,2026-07-07T20:37:13.454431+00:00,oltp,16.12,19.147
ladybug_graph,0.19,361530,236.9,0.12,361530,0-11,real_ladybug:0.15.3,4.5,4.12,10,4g,,,,,,,l2,20260707T203650Z,8g,,2000,,236.9,,,,0,1,l2_ladybug_graph_olap_r1,3.99,3.9,10,micro,,,paper,2.77,2.51,10,embedded,2026-07-07T20:37:15.811357+00:00,olap,,
arcadedb_graph_server,2.41,284269,22.1,0.239,16505273,0-11,server:latest,,,,4g,1.923,2.234,2.381,3.094,5.421,5.96,l2,20260707T203650Z,8g,0.75,2000,0.74,1177.3,1.576,1.901,2.068,0,1,l2_arcadedb_graph_server_oltp_r1,,,,micro,16221004,1155.2,paper,,,,client_server,2026-07-07T20:37:16.889127+00:00,oltp,4.053,4.771
neo4j_graph,2.09,1812333,91.5,0.741,26171403,0-11,neo4j-driver:6.2.0,14.36,13.83,10,4g,,,,,,,l2,20260707T203650Z,8g,0.75,2000,,4927.1,,,,0,1,l2_neo4j_graph_olap_r1,21.78,16.83,10,micro,24359070,4835.6,paper,16.14,13.29,10,client_server,2026-07-07T20:37:23.141718+00:00,olap,,
arcadedb_graph_embedded,0.63,6470270,480.8,0.512,6470270,0-11,26.7.2.dev0,,,,4g,1.03,1.149,1.313,2.139,4.14,23.113,l2,20260707T203650Z,8g,,2000,0.48,480.8,0.661,0.848,0.895,0,1,l2_arcadedb_graph_embedded_oltp_r1,,,,micro,,,paper,,,,embedded,2026-07-07T20:37:38.410186+00:00,oltp,2.833,4.033
arcadedb_graph_embedded,1.64,8495331,613.5,0.522,8495331,0-11,26.7.2.dev0,24.21,23.12,10,4g,,,,,,,l2,20260707T203650Z,8g,,2000,,613.5,,,,0,1,l2_arcadedb_graph_embedded_olap_r1,34.49,26.63,10,micro,,,paper,11.44,7.38,10,embedded,2026-07-07T20:37:40.704030+00:00,olap,,
