backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,k,lane,manifest,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
milvus_sparse,22797.1,438.65,405308569,78.1,2.146,1358984218,0-11,30000,milvus,10,l3s,20260707T100122Z,0.75,10000000,100,17997.2,138.5,7.218,95,7.383,9.019,9.407,0,1.0,1,l3s_milvus_sparse_search_r1,medium,953675649,17919.1,paper,client_server,2026-07-07T10:01:22.625606+00:00,search
arcadedb_sparse_server,6638.6,1506.34,217855892,29.9,0.258,2913311790,0-11,30000,server:latest,10,l3s,20260707T100122Z,0.75,10000000,100,8453.9,9.6,104.088,95,102.522,127.438,142.897,0,0.994,1,l3s_arcadedb_sparse_server_search_r1,medium,2695455898,8424.0,paper,client_server,2026-07-07T10:08:48.652565+00:00,search
qdrant_sparse,25398.5,393.72,256928954,74.5,0.79,985145024,0-11,30000,qdrant,10,l3s,20260707T100122Z,0.75,10000000,100,8629.6,196.1,5.098,95,5.055,5.555,5.731,0,1.0,1,l3s_qdrant_sparse_search_r1,medium,728216070,8555.1,paper,client_server,2026-07-07T10:39:45.544369+00:00,search
elasticsearch_sparse,6475.0,1544.4,384569001,53.5,1.037,1243832454,0-11,30000,9.0.0,10,l3s,20260707T100122Z,0.75,10000000,100,20580.3,81.1,12.329,95,12.225,15.638,17.794,0,0.999,1,l3s_elasticsearch_sparse_search_r1,medium,859263453,20526.8,paper,client_server,2026-07-07T10:46:23.349725+00:00,search
arcadedb_sparse_embedded,16990.4,588.57,893714549,18720.1,0.5,893714549,0-11,30000,26.7.2.dev0,10,l3s,20260707T100122Z,,10000000,100,18720.1,17.2,58.024,95,55.63,70.076,193.504,0,0.993,1,l3s_arcadedb_sparse_embedded_search_r1,medium,,,paper,embedded,2026-07-07T11:12:20.616898+00:00,search
