backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,heap,k,lane,manifest,mem_cap,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
elasticsearch_sparse,6465.7,1546.63,382730772,53.7,0.856,1247929355,0-11,30000,9.0.0,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,20608.8,82.0,12.193,95,11.922,14.96,18.696,0,0.999,3,l3s_elasticsearch_sparse_search_r3,medium,865198583,20555.1,paper,client_server,2026-07-07T16:52:41.259818+00:00,search
qdrant_sparse,25313.8,395.04,255531423,74.2,0.758,989520507,0-11,30000,qdrant,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,9410.5,188.3,5.312,95,5.206,6.285,6.85,0,1.0,4,l3s_qdrant_sparse_search_r4,medium,733989084,9336.3,paper,client_server,2026-07-07T17:18:40.309501+00:00,search
arcadedb_sparse_embedded,16656.6,600.36,870115127,24471.1,0.498,870115127,0-11,30000,26.7.2.dev0,16g,10,l3s,20260707T140630Z,32g,,10000000,100,24471.1,17.0,58.683,95,57.643,70.788,74.322,0,0.993,3,l3s_arcadedb_sparse_embedded_search_r3,medium,,,paper,embedded,2026-07-07T17:25:19.871597+00:00,search
elasticsearch_sparse,6462.7,1547.34,384267362,54.3,0.951,1248676355,0-11,30000,9.0.0,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,20619.2,82.5,12.118,95,11.914,15.067,21.196,0,0.998,4,l3s_elasticsearch_sparse_search_r4,medium,864408993,20564.9,paper,client_server,2026-07-07T17:39:12.917594+00:00,search
arcadedb_sparse_embedded,16996.3,588.36,860836125,24517.9,0.509,860836125,0-11,30000,26.7.2.dev0,16g,10,l3s,20260707T140630Z,32g,,10000000,100,24517.9,17.4,57.599,95,56.585,69.88,75.245,0,0.993,5,l3s_arcadedb_sparse_embedded_search_r5,medium,,,paper,embedded,2026-07-07T18:05:12.955594+00:00,search
elasticsearch_sparse,6459.6,1548.09,383440912,53.7,0.802,1244911176,0-11,30000,9.0.0,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,20614.9,85.0,11.769,95,11.677,14.589,17.29,0,0.998,5,l3s_elasticsearch_sparse_search_r5,medium,861470264,20561.3,paper,client_server,2026-07-07T18:18:51.400696+00:00,search
arcadedb_sparse_server,10207.8,979.64,216056326,29.8,0.247,1389292046,0-11,30000,server:latest,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,23441.2,10.9,91.891,95,90.427,112.643,120.928,0,0.993,3,l3s_arcadedb_sparse_server_search_r3,medium,1173235720,23411.5,paper,client_server,2026-07-07T18:44:51.668958+00:00,search
arcadedb_sparse_server,10275.3,973.21,215372772,29.3,0.26,1325795432,0-11,30000,server:latest,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,23415.1,11.2,89.4,95,87.732,109.01,121.073,0,0.993,4,l3s_arcadedb_sparse_server_search_r4,medium,1110422660,23385.8,paper,client_server,2026-07-07T19:06:30.126531+00:00,search
arcadedb_sparse_embedded,17139.9,583.44,851421436,24535.5,0.515,851421436,0-11,30000,26.7.2.dev0,16g,10,l3s,20260707T140630Z,32g,,10000000,100,24535.5,12.9,77.72,95,75.223,94.66,305.72,0,0.993,1,l3s_arcadedb_sparse_embedded_search_r1,medium,,,paper,embedded,2026-07-07T19:27:03.064071+00:00,search
arcadedb_sparse_embedded,16926.9,590.78,865096569,24547.2,0.499,865096569,0-11,30000,26.7.2.dev0,16g,10,l3s,20260707T140630Z,32g,,10000000,100,24547.2,17.3,57.935,95,56.979,70.207,74.395,0,0.993,4,l3s_arcadedb_sparse_embedded_search_r4,medium,,,paper,embedded,2026-07-07T19:40:38.110765+00:00,search
elasticsearch_sparse,6467.4,1546.22,383204535,53.9,0.784,1243598622,0-11,30000,9.0.0,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,20555.3,83.4,11.993,95,11.747,15.908,17.144,0,0.998,1,l3s_elasticsearch_sparse_search_r1,medium,860394087,20501.4,paper,client_server,2026-07-07T19:54:19.351758+00:00,search
