backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,heap,k,lane,manifest,mem_cap,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
milvus_sparse,22782.8,438.93,405207204,78.2,1.735,1355693542,0-11,30000,milvus,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,19587.5,137.0,7.301,95,7.107,10.06,11.795,0,1.0,2,l3s_milvus_sparse_search_r2,medium,950486338,19509.2,paper,client_server,2026-07-07T14:06:30.980653+00:00,search
qdrant_sparse,25445.9,392.99,259044639,74.9,0.791,989565619,0-11,30000,qdrant,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,7470.5,202.4,4.941,95,4.838,5.957,6.212,0,1.0,3,l3s_qdrant_sparse_search_r3,medium,730520980,7395.6,paper,client_server,2026-07-07T14:13:55.787560+00:00,search
arcadedb_sparse_server,10266.2,974.07,214951904,29.2,0.238,1335103622,0-11,30000,server:latest,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,23419.8,11.5,86.741,95,85.42,107.052,114.296,0,0.993,5,l3s_arcadedb_sparse_server_search_r5,medium,1120151718,23390.7,paper,client_server,2026-07-07T14:20:32.747239+00:00,search
milvus_sparse,22778.7,439.01,405488170,78.6,1.79,1323784902,0-11,30000,milvus,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,19791.0,151.8,6.586,95,6.596,8.461,9.377,0,1.0,5,l3s_milvus_sparse_search_r5,medium,918296732,19712.4,paper,client_server,2026-07-07T14:41:15.967054+00:00,search
milvus_sparse,22530.1,443.85,410372671,79.4,1.954,1353888623,0-11,30000,milvus,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,21095.0,141.1,7.086,95,7.052,9.409,10.129,0,1.0,4,l3s_milvus_sparse_search_r4,medium,943515952,21015.6,paper,client_server,2026-07-07T14:48:40.618974+00:00,search
arcadedb_sparse_server,10170.0,983.29,216412062,29.0,0.256,1335372011,0-11,30000,server:latest,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,23426.6,11.2,89.289,95,87.831,108.635,123.029,0,0.993,2,l3s_arcadedb_sparse_server_search_r2,medium,1118959949,23397.6,paper,client_server,2026-07-07T14:56:11.592251+00:00,search
arcadedb_sparse_server,10206.5,979.77,217113286,29.0,0.251,1338154605,0-11,30000,server:latest,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,23416.9,11.5,87.272,95,86.455,107.77,114.285,0,0.993,1,l3s_arcadedb_sparse_server_search_r1,medium,1121041319,23387.9,paper,client_server,2026-07-07T15:16:56.944928+00:00,search
qdrant_sparse,24840.6,402.57,258119269,73.9,0.784,1003886675,0-11,30000,qdrant,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,7574.3,189.7,5.271,95,5.232,5.77,5.987,0,1.0,1,l3s_qdrant_sparse_search_r1,medium,745767406,7500.4,paper,client_server,2026-07-07T15:37:47.688370+00:00,search
milvus_sparse,22431.5,445.8,412426709,78.3,1.942,1381432003,0-11,30000,milvus,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,22585.1,120.3,8.312,95,8.086,10.918,12.887,0,1.0,1,l3s_milvus_sparse_search_r1,medium,969005294,22506.8,paper,client_server,2026-07-07T15:44:34.359131+00:00,search
elasticsearch_sparse,6472.6,1544.97,382564506,54.9,0.774,1245862329,0-11,30000,9.0.0,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,20601.0,79.5,12.574,95,12.34,15.508,20.243,0,0.999,2,l3s_elasticsearch_sparse_search_r2,medium,863297823,20546.1,paper,client_server,2026-07-07T15:52:06.386962+00:00,search
qdrant_sparse,25687.3,389.3,256417560,74.1,0.78,976987843,0-11,30000,qdrant,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,7734.0,196.8,5.081,95,4.921,6.28,6.862,0,1.0,2,l3s_qdrant_sparse_search_r2,medium,720570283,7659.9,paper,client_server,2026-07-07T16:18:03.857821+00:00,search
milvus_sparse,22662.6,441.26,407626017,78.3,1.75,1376110369,0-11,30000,milvus,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,22486.3,143.0,6.994,95,6.808,9.282,10.774,0,1.0,3,l3s_milvus_sparse_search_r3,medium,968484352,22408.0,paper,client_server,2026-07-07T16:24:37.683769+00:00,search
arcadedb_sparse_embedded,16917.3,591.11,864128184,24520.2,0.513,864128184,0-11,30000,26.7.2.dev0,16g,10,l3s,20260707T140630Z,32g,,10000000,100,24520.2,17.5,57.0,95,56.248,69.347,73.646,0,0.993,2,l3s_arcadedb_sparse_embedded_search_r2,medium,,,paper,embedded,2026-07-07T16:32:05.741590+00:00,search
qdrant_sparse,24444.0,409.1,257379577,73.4,0.771,1027640814,0-11,30000,qdrant,16g,10,l3s,20260707T140630Z,32g,0.75,10000000,100,8573.9,186.0,5.376,95,5.286,6.19,6.657,0,1.0,5,l3s_qdrant_sparse_search_r5,medium,770261237,8500.4,paper,client_server,2026-07-07T16:45:47.936636+00:00,search
