backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
arcadedb_graph_embedded,31.59,54668112,7510.0,0.526,54668112,0-11,26.7.2.dev0,596.51,587.14,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,7510.0,,,,0,5,l2_arcadedb_graph_embedded_olap_r5,567.27,549.04,10,small,,,paper,87.27,82.21,10,embedded,2026-07-07T20:44:52.476909+00:00,olap,,
arcadedb_graph_embedded,28.8,48679252,7464.1,0.534,48679252,0-11,26.7.2.dev0,,,,8g,0.442,0.658,0.818,0.741,1.367,2.056,l2,20260707T204452Z,16g,,100000,4.85,7464.1,0.349,0.615,0.776,0,4,l2_arcadedb_graph_embedded_oltp_r4,,,,small,,,paper,,,,embedded,2026-07-07T20:45:33.454957+00:00,oltp,37.864,39.052
arcadedb_graph_server,68.33,3793152,22.8,0.235,101416308,0-11,server:latest,,,,8g,1.216,1.593,1.781,1.607,2.466,3.383,l2,20260707T204452Z,16g,0.75,100000,6.59,6219.9,1.183,1.536,1.7,0,1,l2_arcadedb_graph_server_oltp_r1,,,,small,97623156,6197.1,paper,,,,client_server,2026-07-07T20:46:08.651555+00:00,oltp,42.089,43.925
ladybug_graph,2.6,5662223,492.9,0.132,5662223,0-11,real_ladybug:0.15.3,66.6,64.87,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,492.9,,,,0,2,l2_ladybug_graph_olap_r2,70.11,68.67,10,small,,,paper,17.26,16.63,10,embedded,2026-07-07T20:47:26.510996+00:00,olap,,
neo4j_graph,49.85,18745891,94.3,0.719,90187041,0-11,neo4j-driver:6.2.0,851.78,845.9,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,9580.5,,,,0,1,l2_neo4j_graph_olap_r1,794.91,790.54,10,small,71441150,9486.2,paper,505.85,497.39,10,client_server,2026-07-07T20:47:31.191187+00:00,olap,,
neo4j_graph,49.19,19361254,95.2,0.724,88947553,0-11,neo4j-driver:6.2.0,,,,8g,3.833,5.186,5.771,3.602,4.834,6.992,l2,20260707T204452Z,16g,0.75,100000,7.66,9525.9,4.444,7.692,9.192,0,5,l2_neo4j_graph_oltp_r5,,,,small,69586299,9430.7,paper,,,,client_server,2026-07-07T20:48:47.137825+00:00,oltp,10.504,21.257
ladybug_graph,2.54,16136880,491.6,0.129,16136880,0-11,real_ladybug:0.15.3,,,,8g,2.217,3.703,4.339,6.409,8.399,10.066,l2,20260707T204452Z,16g,,100000,5.36,491.6,0.135,0.175,0.213,0,1,l2_ladybug_graph_oltp_r1,,,,small,,,paper,,,,embedded,2026-07-07T20:49:55.595668+00:00,oltp,9.443,10.816
arcadedb_graph_server,68.92,3733135,22.4,0.244,101523132,0-11,server:latest,,,,8g,1.186,1.492,1.737,1.513,2.342,3.193,l2,20260707T204452Z,16g,0.75,100000,6.63,6246.3,1.071,1.466,1.645,0,2,l2_arcadedb_graph_server_oltp_r2,,,,small,97789997,6223.8,paper,,,,client_server,2026-07-07T20:50:04.404399+00:00,oltp,43.822,45.386
arcadedb_graph_embedded,28.89,54274674,7438.8,0.555,54274674,0-11,26.7.2.dev0,,,,8g,0.45,0.645,0.775,0.717,1.343,1.956,l2,20260707T204452Z,16g,,100000,5.04,7438.8,0.341,0.576,0.776,0,5,l2_arcadedb_graph_embedded_oltp_r5,,,,small,,,paper,,,,embedded,2026-07-07T20:51:22.716637+00:00,oltp,39.995,41.517
ladybug_graph,2.69,16310487,484.2,0.129,16310487,0-11,real_ladybug:0.15.3,,,,8g,2.245,3.78,4.952,6.406,8.371,10.025,l2,20260707T204452Z,16g,,100000,5.78,484.2,0.134,0.169,0.239,0,3,l2_ladybug_graph_oltp_r3,,,,small,,,paper,,,,embedded,2026-07-07T20:51:58.438858+00:00,oltp,11.897,18.851
