backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
neo4j_graph,49.05,19524532,95.2,0.749,90075117,0-11,neo4j-driver:6.2.0,,,,8g,4.171,5.311,5.964,3.83,5.164,6.945,l2,20260707T204452Z,16g,0.75,100000,7.85,9561.1,4.252,6.953,8.796,0,2,l2_neo4j_graph_oltp_r2,,,,small,70550585,9466.0,paper,,,,client_server,2026-07-07T20:52:07.786151+00:00,oltp,11.65,19.022
neo4j_graph,48.74,18761976,94.2,0.742,89671523,0-11,neo4j-driver:6.2.0,868.65,862.92,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,9534.9,,,,0,4,l2_neo4j_graph_olap_r4,838.26,826.07,10,small,70909547,9440.8,paper,512.43,503.86,10,client_server,2026-07-07T20:53:17.282058+00:00,olap,,
neo4j_graph,49.21,19263648,95.4,0.74,89238581,0-11,neo4j-driver:6.2.0,,,,8g,4.067,5.515,6.054,3.496,4.892,7.438,l2,20260707T204452Z,16g,0.75,100000,7.4,9547.9,4.455,7.428,9.12,0,4,l2_neo4j_graph_oltp_r4,,,,small,69974933,9452.4,paper,,,,client_server,2026-07-07T20:54:31.479261+00:00,oltp,7.24,12.401
arcadedb_graph_server,70.64,2950292,22.0,0.251,105010142,0-11,server:latest,662.2,611.99,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,6202.7,,,,0,4,l2_arcadedb_graph_server_olap_r4,626.53,595.02,10,small,102059850,6180.6,paper,96.69,88.61,10,client_server,2026-07-07T20:55:39.635335+00:00,olap,,
arcadedb_graph_server,69.37,3800852,22.5,0.248,102867659,0-11,server:latest,,,,8g,1.217,1.559,1.806,1.575,2.303,3.23,l2,20260707T204452Z,16g,0.75,100000,6.55,6201.6,1.13,1.538,1.745,0,3,l2_arcadedb_graph_server_oltp_r3,,,,small,99066807,6179.1,paper,,,,client_server,2026-07-07T20:57:01.578331+00:00,oltp,42.356,44.557
ladybug_graph,2.66,16300164,502.0,0.143,16300164,0-11,real_ladybug:0.15.3,,,,8g,2.235,3.895,5.258,6.397,8.326,10.115,l2,20260707T204452Z,16g,,100000,5.41,502.0,0.133,0.173,0.225,0,5,l2_ladybug_graph_oltp_r5,,,,small,,,paper,,,,embedded,2026-07-07T20:58:20.821650+00:00,oltp,9.564,10.994
ladybug_graph,2.54,5756907,529.9,0.12,5756907,0-11,real_ladybug:0.15.3,67.44,66.61,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,529.9,,,,0,1,l2_ladybug_graph_olap_r1,69.27,67.74,10,small,,,paper,16.9,16.49,10,embedded,2026-07-07T20:58:29.998391+00:00,olap,,
neo4j_graph,48.39,19013799,95.3,0.743,89450231,0-11,neo4j-driver:6.2.0,853.23,849.15,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,9568.0,,,,0,2,l2_neo4j_graph_olap_r2,821.48,799.24,10,small,70436432,9472.7,paper,500.4,492.49,10,client_server,2026-07-07T20:58:34.344133+00:00,olap,,
arcadedb_graph_server,68.81,3714700,22.6,0.245,101555471,0-11,server:latest,,,,8g,1.166,1.44,1.573,1.467,2.279,3.743,l2,20260707T204452Z,16g,0.75,100000,6.28,6101.6,1.043,1.367,1.549,0,4,l2_arcadedb_graph_server_oltp_r4,,,,small,97840771,6078.9,paper,,,,client_server,2026-07-07T20:59:47.838930+00:00,oltp,40.795,42.616
neo4j_graph,49.09,19445172,94.9,0.769,89907193,0-11,neo4j-driver:6.2.0,,,,8g,4.013,5.301,6.184,3.75,5.187,6.886,l2,20260707T204452Z,16g,0.75,100000,7.76,9552.5,4.278,7.745,9.368,0,3,l2_neo4j_graph_oltp_r3,,,,small,70462021,9457.6,paper,,,,client_server,2026-07-07T21:01:06.077580+00:00,oltp,10.917,18.961
neo4j_graph,48.51,19436049,94.7,0.775,89246245,0-11,neo4j-driver:6.2.0,,,,8g,3.91,5.298,6.278,3.635,5.065,8.455,l2,20260707T204452Z,16g,0.75,100000,7.45,9562.9,4.437,7.306,9.124,0,1,l2_neo4j_graph_oltp_r1,,,,small,69810196,9468.2,paper,,,,client_server,2026-07-07T21:02:15.625208+00:00,oltp,7.391,13.018
ladybug_graph,2.57,16097293,492.9,0.121,16097293,0-11,real_ladybug:0.15.3,,,,8g,2.206,3.375,4.452,6.28,8.305,9.782,l2,20260707T204452Z,16g,,100000,5.38,492.9,0.133,0.169,0.208,0,2,l2_ladybug_graph_oltp_r2,,,,small,,,paper,,,,embedded,2026-07-07T21:03:23.419990+00:00,oltp,9.647,15.948
ladybug_graph,2.69,5881462,517.0,0.14,5881462,0-11,real_ladybug:0.15.3,66.27,65.2,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,517.0,,,,0,3,l2_ladybug_graph_olap_r3,69.82,68.54,10,small,,,paper,17.44,16.44,10,embedded,2026-07-07T21:03:32.233860+00:00,olap,,
neo4j_graph,49.65,18637773,94.6,0.721,89135691,0-11,neo4j-driver:6.2.0,860.46,849.9,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,9583.5,,,,0,5,l2_neo4j_graph_olap_r5,820.27,804.99,10,small,70497918,9488.9,paper,505.13,496.15,10,client_server,2026-07-07T21:03:36.822211+00:00,olap,,
arcadedb_graph_server,70.35,3011001,22.6,0.246,105277115,0-11,server:latest,666.69,625.75,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,6216.8,,,,0,5,l2_arcadedb_graph_server_olap_r5,592.96,575.58,10,small,102266114,6194.2,paper,94.42,88.74,10,client_server,2026-07-07T21:04:52.809466+00:00,olap,,
arcadedb_graph_server,71.16,3084460,22.1,0.253,106107246,0-11,server:latest,628.67,599.27,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,6257.0,,,,0,2,l2_arcadedb_graph_server_olap_r2,602.52,581.77,10,small,103022786,6235.0,paper,97.65,91.17,10,client_server,2026-07-07T21:06:14.960965+00:00,olap,,
ladybug_graph,2.56,5700723,510.6,0.13,5700723,0-11,real_ladybug:0.15.3,67.01,66.0,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,510.6,,,,0,5,l2_ladybug_graph_olap_r5,69.46,68.06,10,small,,,paper,17.63,17.33,10,embedded,2026-07-07T21:07:37.791146+00:00,olap,,
ladybug_graph,2.59,16112759,535.9,0.12,16112759,0-11,real_ladybug:0.15.3,,,,8g,2.236,3.569,4.967,6.385,8.371,10.094,l2,20260707T204452Z,16g,,100000,5.32,535.9,0.133,0.17,0.232,0,4,l2_ladybug_graph_oltp_r4,,,,small,,,paper,,,,embedded,2026-07-07T21:07:42.101312+00:00,oltp,9.504,10.294
arcadedb_graph_embedded,29.0,54361586,7502.8,0.523,54361586,0-11,26.7.2.dev0,,,,8g,0.465,0.643,0.834,0.785,1.585,2.314,l2,20260707T204452Z,16g,,100000,5.15,7502.8,0.346,0.566,0.726,0,3,l2_arcadedb_graph_embedded_oltp_r3,,,,small,,,paper,,,,embedded,2026-07-07T21:07:50.969317+00:00,oltp,40.614,41.948
arcadedb_graph_embedded,28.82,48640936,7528.2,0.526,48640936,0-11,26.7.2.dev0,,,,8g,0.444,0.656,0.848,0.705,1.34,1.823,l2,20260707T204452Z,16g,,100000,4.77,7528.2,0.342,0.616,0.756,0,1,l2_arcadedb_graph_embedded_oltp_r1,,,,small,,,paper,,,,embedded,2026-07-07T21:08:26.591131+00:00,oltp,37.4,38.227
ladybug_graph,2.6,5698772,496.5,0.125,5698772,0-11,real_ladybug:0.15.3,66.91,65.01,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,496.5,,,,0,4,l2_ladybug_graph_olap_r4,69.4,68.87,10,small,,,paper,17.34,16.83,10,embedded,2026-07-07T21:09:01.787232+00:00,olap,,
neo4j_graph,49.16,18973271,94.5,0.759,90397092,0-11,neo4j-driver:6.2.0,855.11,852.57,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,9546.5,,,,0,3,l2_neo4j_graph_olap_r3,841.06,830.44,10,small,71423821,9452.0,paper,525.3,517.89,10,client_server,2026-07-07T21:09:06.179491+00:00,olap,,
arcadedb_graph_embedded,31.01,53098798,7539.0,0.531,53098798,0-11,26.7.2.dev0,587.34,569.66,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,7539.0,,,,0,1,l2_arcadedb_graph_embedded_olap_r1,570.44,545.81,10,small,,,paper,86.24,80.97,10,embedded,2026-07-07T21:10:20.631877+00:00,olap,,
arcadedb_graph_embedded,31.19,53654437,7435.4,0.528,53654437,0-11,26.7.2.dev0,612.4,588.03,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,7435.4,,,,0,2,l2_arcadedb_graph_embedded_olap_r2,597.67,572.36,10,small,,,paper,83.85,79.95,10,embedded,2026-07-07T21:11:00.979371+00:00,olap,,
arcadedb_graph_embedded,30.83,53192694,7466.8,0.536,53192694,0-11,26.7.2.dev0,591.27,582.0,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,7466.8,,,,0,4,l2_arcadedb_graph_embedded_olap_r4,566.83,554.97,10,small,,,paper,87.5,82.43,10,embedded,2026-07-07T21:11:41.747376+00:00,olap,,
arcadedb_graph_server,69.57,3752999,22.5,0.265,102807401,0-11,server:latest,,,,8g,1.197,1.582,2.159,1.55,2.375,3.476,l2,20260707T204452Z,16g,0.75,100000,6.71,6133.3,1.123,1.467,1.66,0,5,l2_arcadedb_graph_server_oltp_r5,,,,small,99054402,6110.8,paper,,,,client_server,2026-07-07T21:12:21.910751+00:00,oltp,44.082,45.661
arcadedb_graph_server,71.59,2996581,22.1,0.238,105554729,0-11,server:latest,619.22,601.95,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,6097.9,,,,0,1,l2_arcadedb_graph_server_olap_r1,609.9,572.01,10,small,102558148,6075.8,paper,93.67,88.64,10,client_server,2026-07-07T21:13:40.940261+00:00,olap,,
arcadedb_graph_server,70.82,2957580,22.5,0.243,104395722,0-11,server:latest,644.88,622.97,10,8g,,,,,,,l2,20260707T204452Z,16g,0.75,100000,,6222.0,,,,0,3,l2_arcadedb_graph_server_olap_r3,624.01,590.24,10,small,101438142,6199.5,paper,91.02,85.33,10,client_server,2026-07-07T21:15:04.112588+00:00,olap,,
arcadedb_graph_embedded,29.49,54712044,7487.3,0.529,54712044,0-11,26.7.2.dev0,,,,8g,0.452,0.648,0.812,0.759,1.371,2.144,l2,20260707T204452Z,16g,,100000,5.06,7487.3,0.343,0.588,0.744,0,2,l2_arcadedb_graph_embedded_oltp_r2,,,,small,,,paper,,,,embedded,2026-07-07T21:16:26.589327+00:00,oltp,40.027,41.626
arcadedb_graph_embedded,31.46,54565436,7479.6,0.532,54565436,0-11,26.7.2.dev0,592.69,585.48,10,8g,,,,,,,l2,20260707T204452Z,16g,,100000,,7479.6,,,,0,3,l2_arcadedb_graph_embedded_olap_r3,599.64,556.09,10,small,,,paper,87.05,80.82,10,embedded,2026-07-07T21:17:02.693926+00:00,olap,,
