backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,k,lane,manifest,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
arcadedb_sparse_server,11570.1,86.43,23728888,49.6,0.297,287564305,0-11,30000,server:latest,10,l3s,20260707T094206Z,0.75,1000000,500,2902.7,95.2,10.507,495,10.203,12.724,14.353,0,0.9902,1,l3s_arcadedb_sparse_server_search_r1,small,263835417,2853.1,paper,client_server,2026-07-07T09:42:06.384785+00:00,search
arcadedb_sparse_embedded,11429.4,87.49,268339934,2908.2,0.508,268339934,0-11,30000,26.7.2.dev0,10,l3s,20260707T094206Z,,1000000,500,2908.2,134.9,7.41,495,7.193,9.034,9.763,0,0.9902,1,l3s_arcadedb_sparse_embedded_search_r1,small,,,paper,embedded,2026-07-07T09:46:15.102891+00:00,search
