backend,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,heap,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,lane,manifest,mem_cap,mem_split,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,peak_mib_sum,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,rep,run_id,scale,schema_s,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload
postgres,902877,40.5,0.468,2827419,0-11,17.10 (Debian 17.10-1.pgdg13+1),4g,138923.1,0.36,,,,,,l1,20260708T100414Z,8g,0.75,50000,12.591,6.303,6.921,11.829,9.96,47.604,,180.5,0,,,,,,1,l1_postgres_olap_r1,tiny,0.008,1924542,140.0,paper,client_server,2026-07-08T10:04:15.080095+00:00,,,,,,olap
postgres,3600164,25.7,0.789,7171150,0-11,17.10 (Debian 17.10-1.pgdg13+1),4g,73784.3,0.68,2.3115,979,2.1344,3.8118,4.356,l1,20260708T100414Z,8g,0.75,50000,,,,,,,807.4,124.0,0,0.5974,3060,0.4582,1.2408,1.4085,1,l1_postgres_oltp_r1,tiny,0.022,3570986,98.3,paper,client_server,2026-07-08T10:04:20.210036+00:00,2.1874,961,2.0692,3.4481,3.9591,oltp
