backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,ef_construction,ef_search,end_anon_mib_sum,engine_version,heap,k,lane,m,manifest,mem_cap,mem_split,n_docs,n_queries,peak_anon_mib_sum,peak_mib_sum,qps,query_max_ms,query_mean_ms,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,topology,ts_utc,workload
milvus_dense,1583.5,3.16,2350799,78.3,73.8,105.2,194.8,0.46,6037648,0-11,128,100,100,281.7,3.0.0,4g,10,l3d,16,20260712T174625Z,8g,0.75,5000,1000,308.5,655.6,566.7,15.176,1.759,1.737,2.159,2.431,0,1.0,1,l3d_milvus_dense_search_r1,micro,3686849,203.3,250.0,203.3,460.8,paper,client_server,2026-07-12T17:46:25.590125+00:00,search
qdrant_dense,15200.4,0.33,2399451,91.5,10.1,91.5,161.7,0.512,3262976,0-11,128,100,100,159.5,?,4g,10,l3d,16,20260712T174625Z,8g,0.75,5000,1000,159.6,329.5,1145.1,23.083,0.869,0.876,1.145,1.277,0,1.0,1,l3d_qdrant_dense_search_r1,micro,863525,68.0,46.9,68.0,167.9,paper,client_server,2026-07-12T17:46:34.540224+00:00,search
