backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
postgres,,,1886038,22.0,0.8,22.0,25.4,0.115,3865776,0-11,,26.1,17.10 (Debian 17.10-1.pgdg13+1),,,,4g,,,,,,,354499.6,0.14,2.8291,979,2.9645,3.2413,3.456,,l1,20260711T010336Z,8g,0.75,,,,50000,,,,,,,715.2,,28.3,122.5,,,,,,,,,,0,0.5022,3060,0.545,0.7526,0.842,,1,l1_postgres_oltp_r1,,,,tiny,0.018,1979738,4.1,83.3,6.3,97.0,paper,,,,client_server,2026-07-11T01:06:01.747574+00:00,2.7935,961,2.9117,3.2077,3.3962,oltp,,
ladybug_graph,,0.35,5463640,228.8,5.4,228.8,238.1,0.134,5463640,0-11,,228.8,ladybug:0.18.1,,,,4g,1.123,1.234,1.281,4.326,4.603,4.675,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,2.09,228.8,238.1,0.154,0.217,0.246,,,,,,,0,,,,,,,3,l2_ladybug_graph_oltp_r3,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:06:12.750410+00:00,,,,,,oltp,9.59,10.99
arcadedb_embedded,,,10489893,13.4,6.0,2294.2,2419.5,0.356,10489893,0-11,,13.4,26.8.1.dev0,,,,4g,,,,,,,38468.3,1.3,,,,,,,l1,20260711T010336Z,8g,,,,,50000,51.422,41.42,45.245,45.348,45.72,229.155,,,2294.2,2419.5,,,,,,,,,,0,,,,,,,5,l1_arcadedb_embedded_olap_r5,,,,tiny,0.162,,,,,,paper,,,,embedded,2026-07-11T01:06:16.096019+00:00,,,,,,olap,,
arcadedb_sparse_embedded_nocompact,18396.4,5.44,17494459,2285.2,47.0,2815.1,2916.3,0.472,17494459,0-11,30000,2285.2,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,,100000,,200,,,,,,,,,,2815.1,2916.3,,,,548.3,1.824,195,1.706,2.969,3.729,0,,,,,,0.996,2,l3s_arcadedb_sparse_embedded_nocompact_search_r2,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:06:20.687959+00:00,,,,,,search,,
arcadedb_graph_embedded,,3.29,12689475,2113.9,51.3,2113.9,2175.2,0.519,12689475,0-11,,2113.9,26.8.1.dev0,85.82,82.73,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,,2113.9,2175.2,,,,,,,,,,0,,,,,,,2,l2_arcadedb_graph_embedded_olap_r2,67.26,49.37,10,tiny,,,,,,,paper,12.71,10.34,10,embedded,2026-07-11T01:06:32.776632+00:00,,,,,,olap,,
arcadedb_sparse_embedded_fp32,17807.9,5.62,18212539,0.0,52.8,2804.1,2912.1,0.463,18212539,0-11,30000,0.0,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,,100000,,200,,,,,,,,,,2804.1,2912.1,,,,598.2,1.672,195,1.505,2.83,3.23,0,,,,,,1.0,4,l3s_arcadedb_sparse_embedded_fp32_search_r4,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:06:38.643128+00:00,,,,,,search,,
arcadedb_sparse_embedded_fp32,17662.3,5.66,18070205,2810.2,84.9,2810.2,2908.6,0.475,18070205,0-11,30000,2810.2,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,,100000,,200,,,,,,,,,,2810.2,2908.6,,,,617.0,1.621,195,1.448,2.517,3.389,0,,,,,,1.0,1,l3s_arcadedb_sparse_embedded_fp32_search_r1,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:06:50.713405+00:00,,,,,,search,,
arcadedb_sparse_embedded_fp32,17764.8,5.63,18071299,571.9,52.8,2802.9,2909.5,0.484,18071299,0-11,30000,571.9,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,,100000,,200,,,,,,,,,,2802.9,2909.5,,,,606.3,1.649,195,1.544,2.427,2.853,0,,,,,,1.0,5,l3s_arcadedb_sparse_embedded_fp32_search_r5,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:07:02.786240+00:00,,,,,,search,,
duckdb,,,1513757,114.3,3.5,114.3,124.3,0.053,1513757,0-11,,114.3,1.5.4,,,,4g,,,,,,,117218.6,0.43,,,,,,,l1,20260711T010336Z,8g,,,,,50000,1.976,0.721,0.342,2.113,0.937,6.089,,,114.3,124.3,,,,,,,,,,0,,,,,,,2,l1_duckdb_olap_r2,,,,tiny,0.023,,,,,,paper,,,,embedded,2026-07-11T01:07:14.884027+00:00,,,,,,olap,,
postgres,,,280914,21.9,0.8,21.9,24.7,0.115,1064476,0-11,,25.9,17.10 (Debian 17.10-1.pgdg13+1),,,,4g,,,,,,,336949.6,0.15,,,,,,,l1,20260711T010336Z,8g,0.75,,,,50000,4.663,2.481,2.347,4.304,3.551,17.346,,,28.1,122.5,,,,,,,,,,0,,,,,,,3,l1_postgres_olap_r3,,,,tiny,0.018,783562,4.1,83.7,6.3,97.8,paper,,,,client_server,2026-07-11T01:07:16.202556+00:00,,,,,,olap,,
arcadedb_embedded,,,9484347,2678.6,523.7,2678.6,3227.3,0.351,9484347,0-11,,2678.6,26.8.1.dev0,,,,4g,,,,,,,37663.8,1.33,0.5891,979,0.6262,0.7279,0.7799,,l1,20260711T010336Z,8g,,,,,50000,,,,,,,4698.7,,2678.6,3227.3,,,,,,,,,,0,0.0834,3060,0.0787,0.1351,0.1686,,2,l1_arcadedb_embedded_oltp_r2,,,,tiny,0.163,,,,,,paper,,,,embedded,2026-07-11T01:07:19.907333+00:00,0.2417,961,0.2474,0.3953,0.4931,oltp,,
postgres,,,1674634,22.0,0.8,22.0,24.9,0.118,3458002,0-11,,26.1,17.10 (Debian 17.10-1.pgdg13+1),,,,4g,,,,,,,369563.0,0.14,2.7975,979,2.7595,3.2367,6.0015,,l1,20260711T010336Z,8g,0.75,,,,50000,,,,,,,758.2,,28.3,123.0,,,,,,,,,,0,0.406,3060,0.4039,0.7327,0.8157,,3,l1_postgres_oltp_r3,,,,tiny,0.018,1783368,4.1,83.6,6.3,98.1,paper,,,,client_server,2026-07-11T01:07:23.722727+00:00,2.7193,961,2.6937,3.1514,5.2119,oltp,,
duckdb,,,9200501,97.4,4.6,109.8,120.3,0.051,9200501,0-11,,97.4,1.5.4,,,,4g,,,,,,,118977.5,0.42,8.857,979,8.7753,9.7607,10.5698,,l1,20260711T010336Z,8g,,,,,50000,,,,,,,251.9,,109.8,120.3,,,,,,,,,,0,0.9951,3060,0.8482,1.6011,1.8158,,2,l1_duckdb_oltp_r2,,,,tiny,0.024,,,,,,paper,,,,embedded,2026-07-11T01:07:34.224417+00:00,8.4607,961,8.3144,9.162,15.3499,oltp,,
arcadedb_embedded,,,10734282,25.5,6.0,2336.2,2490.6,0.356,10734282,0-11,,25.5,26.8.1.dev0,,,,4g,,,,,,,38553.5,1.3,,,,,,,l1,20260711T010336Z,8g,,,,,50000,53.743,40.906,40.255,45.395,48.55,228.849,,,2336.2,2490.6,,,,,,,,,,0,,,,,,,3,l1_arcadedb_embedded_olap_r3,,,,tiny,0.159,,,,,,paper,,,,embedded,2026-07-11T01:07:56.097977+00:00,,,,,,olap,,
postgres,,,1834143,22.0,0.8,22.0,25.1,0.114,3783852,0-11,,26.1,17.10 (Debian 17.10-1.pgdg13+1),,,,4g,,,,,,,347145.9,0.14,2.879,979,2.9699,3.2441,3.4368,,l1,20260711T010336Z,8g,0.75,,,,50000,,,,,,,707.0,,28.3,122.3,,,,,,,,,,0,0.5011,3060,0.553,0.7608,0.85,,5,l1_postgres_oltp_r5,,,,tiny,0.018,1949709,4.1,83.6,6.3,97.3,paper,,,,client_server,2026-07-11T01:08:00.656203+00:00,2.8301,961,2.9284,3.2022,3.4499,oltp,,
arcadedb_graph_server,,8.55,449107,0.0,0.1,19.0,22.5,0.243,27343920,0-11,,3505.4,server:latest,73.96,69.06,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,,3533.2,3609.2,,,,,,,,,,0,,,,,,,5,l2_arcadedb_graph_server_olap_r5,63.86,59.26,10,tiny,,26894813,3505.4,51.6,3514.2,3586.7,paper,18.83,12.96,10,client_server,2026-07-11T01:08:11.620729+00:00,,,,,,olap,,
arcadedb_sparse_embedded,17481.2,5.72,18351788,2791.9,85.7,2791.9,2890.3,0.475,18351788,0-11,30000,2791.9,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,,100000,,200,,,,,,,,,,2791.9,2890.3,,,,616.2,1.623,195,1.449,2.557,3.335,0,,,,,,0.996,1,l3s_arcadedb_sparse_embedded_search_r1,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:08:24.213990+00:00,,,,,,search,,
arcadedb_embedded,,,10517573,0.0,6.0,2250.6,2394.7,0.356,10517573,0-11,,0.0,26.8.1.dev0,,,,4g,,,,,,,37557.0,1.33,,,,,,,l1,20260711T010336Z,8g,,,,,50000,52.274,41.354,41.295,45.578,41.822,222.323,,,2250.6,2394.7,,,,,,,,,,0,,,,,,,4,l1_arcadedb_embedded_olap_r4,,,,tiny,0.166,,,,,,paper,,,,embedded,2026-07-11T01:08:36.531024+00:00,,,,,,olap,,
arcadedb_graph_server,,7.5,757188,18.6,0.1,19.0,22.4,0.244,28792768,0-11,,3582.0,server:latest,,,,4g,1.702,2.334,2.963,1.988,2.823,3.923,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,1.42,3592.3,3692.4,1.34,1.65,1.814,,,,,,,0,,,,,,,3,l2_arcadedb_graph_server_oltp_r3,,,,tiny,,28035580,3563.4,81.1,3573.3,3669.9,paper,,,,client_server,2026-07-11T01:08:41.128250+00:00,,,,,,oltp,2.06,2.326
neo4j_graph,,5.69,3180058,88.6,1.0,88.6,94.8,0.755,33196184,0-11,,4667.2,neo4j-driver:6.2.0,70.07,65.97,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,,4667.2,5027.7,,,,,,,,,,0,,,,,,,4,l2_neo4j_graph_olap_r4,64.48,63.34,10,tiny,,30016126,4578.6,326.9,4578.6,4932.9,paper,45.36,36.36,10,client_server,2026-07-11T01:08:52.737860+00:00,,,,,,olap,,
arcadedb_graph_server,,7.53,756136,18.6,0.1,19.5,21.8,0.254,28334722,0-11,,3597.2,server:latest,,,,4g,1.577,2.181,2.606,1.985,2.765,3.389,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,1.39,3610.0,3700.7,1.349,1.557,1.857,,,,,,,0,,,,,,,2,l2_arcadedb_graph_server_oltp_r2,,,,tiny,,27578586,3578.6,83.6,3590.5,3678.9,paper,,,,client_server,2026-07-11T01:09:11.508472+00:00,,,,,,oltp,1.863,2.477
arcadedb_sparse_embedded_nocompact,18173.4,5.5,17506094,2779.0,81.9,2779.0,2873.6,0.467,17506094,0-11,30000,2779.0,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,,100000,,200,,,,,,,,,,2779.0,2873.6,,,,468.2,2.136,195,1.938,3.21,4.309,0,,,,,,0.996,4,l3s_arcadedb_sparse_embedded_nocompact_search_r4,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:09:23.123926+00:00,,,,,,search,,
postgres,,,274904,21.9,0.7,21.9,24.2,0.116,1072608,0-11,,25.9,17.10 (Debian 17.10-1.pgdg13+1),,,,4g,,,,,,,341985.5,0.15,,,,,,,l1,20260711T010336Z,8g,0.75,,,,50000,4.811,2.564,2.479,4.317,3.57,17.741,,,28.2,121.9,,,,,,,,,,0,,,,,,,4,l1_postgres_olap_r4,,,,tiny,0.018,797704,4.1,83.4,6.3,97.6,paper,,,,client_server,2026-07-11T01:09:35.213979+00:00,,,,,,olap,,
arcadedb_graph_server,,7.49,745136,18.6,0.1,19.0,22.2,0.242,28679074,0-11,,3518.5,server:latest,,,,4g,1.571,1.937,2.474,1.966,3.228,3.638,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,1.43,3526.5,3632.6,1.403,2.033,2.418,,,,,,,0,,,,,,,1,l2_arcadedb_graph_server_oltp_r1,,,,tiny,,27933938,3499.9,83.6,3507.5,3610.5,paper,,,,client_server,2026-07-11T01:09:39.244271+00:00,,,,,,oltp,1.899,2.442
arcadedb_graph_embedded,,2.25,11524236,1069.2,14.9,1069.2,1161.2,0.541,11524236,0-11,,1069.2,26.8.1.dev0,,,,4g,0.555,0.714,0.989,0.911,1.528,2.021,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,0.59,1069.2,1161.2,0.417,0.661,0.753,,,,,,,0,,,,,,,2,l2_arcadedb_graph_embedded_oltp_r2,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:09:50.841919+00:00,,,,,,oltp,0.941,1.16
ladybug_graph,,0.37,5509560,225.3,5.4,225.3,238.4,0.132,5509560,0-11,,225.3,ladybug:0.18.1,,,,4g,1.109,1.219,1.612,4.329,4.61,4.768,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,2.09,225.3,238.4,0.153,0.233,0.355,,,,,,,0,,,,,,,4,l2_ladybug_graph_oltp_r4,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:09:55.139955+00:00,,,,,,oltp,9.671,10.837
duckdb,,,9121453,98.5,4.6,110.9,121.4,0.054,9121453,0-11,,98.5,1.5.4,,,,4g,,,,,,,115148.8,0.43,8.7958,979,8.742,9.6689,10.2468,,l1,20260711T010336Z,8g,,,,,50000,,,,,,,254.7,,110.9,121.4,,,,,,,,,,0,0.9871,3060,0.8486,1.5744,1.7485,,3,l1_duckdb_oltp_r3,,,,tiny,0.024,,,,,,paper,,,,embedded,2026-07-11T01:09:58.480541+00:00,8.3259,961,8.2594,9.0347,9.2442,oltp,,
arcadedb_sparse_embedded,17630.2,5.67,18263624,913.2,44.1,2793.9,2891.9,0.484,18263624,0-11,30000,913.2,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,,100000,,200,,,,,,,,,,2793.9,2891.9,,,,626.3,1.597,195,1.411,2.691,3.175,0,,,,,,0.996,5,l3s_arcadedb_sparse_embedded_search_r5,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:10:20.118507+00:00,,,,,,search,,
arcadedb_server,,,2679911,17.4,0.1,17.5,20.4,0.051,18012345,0-11,,2122.7,server:latest,,,,4g,,,,,,,31163.5,1.6,1.3278,979,1.2734,1.7781,1.9546,,l1,20260711T010336Z,8g,0.75,,,,50000,,,,,,,1064.3,,2122.8,2257.4,,,,,,,,,,0,0.8105,3060,0.7955,1.0956,1.2439,,1,l1_arcadedb_server_oltp_r1,,,,tiny,0.194,15332434,2105.3,73.7,2105.3,2237.0,paper,,,,client_server,2026-07-11T01:10:32.468321+00:00,0.9551,961,0.9245,1.3097,1.5025,oltp,,
ladybug_graph,,0.37,749240,207.2,5.4,207.2,240.6,0.125,749240,0-11,,207.2,ladybug:0.18.1,9.57,9.28,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,,207.2,240.6,,,,,,,,,,0,,,,,,,5,l2_ladybug_graph_olap_r5,10.05,9.4,10,tiny,,,,,,,paper,0.81,0.74,10,embedded,2026-07-11T01:10:41.803350+00:00,,,,,,olap,,
qdrant_sparse,34217.3,2.92,3882181,67.5,0.9,67.5,73.7,0.775,6312598,0-11,30000,263.9,qdrant,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,0.75,100000,,200,,,,,,,,,,263.9,333.2,,,,1387.7,0.721,195,0.682,0.836,2.495,0,,,,,,1.0,4,l3s_qdrant_sparse_search_r4,,,,tiny,,2430417,196.5,55.5,196.5,259.6,paper,,,,client_server,2026-07-11T01:10:43.167523+00:00,,,,,,search,,
milvus_sparse,18708.3,5.35,5122508,71.0,1.0,71.0,78.7,2.172,10021084,0-11,30000,356.2,milvus,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,0.75,100000,,200,,,,,,,,,,553.8,645.8,,,,1245.1,0.803,195,0.8,0.896,0.981,0,,,,,,1.0,3,l3s_milvus_sparse_search_r3,,,,tiny,,4898576,285.2,62.8,482.8,567.1,paper,,,,client_server,2026-07-11T01:10:49.375635+00:00,,,,,,search,,
duckdb,,,9097023,97.4,4.5,110.1,120.7,0.053,9097023,0-11,,97.4,1.5.4,,,,4g,,,,,,,117155.5,0.43,8.7809,979,8.7344,9.6014,10.0813,,l1,20260711T010336Z,8g,,,,,50000,,,,,,,255.4,,110.1,120.7,,,,,,,,,,0,0.98,3060,0.8369,1.5645,1.7765,,5,l1_duckdb_oltp_r5,,,,tiny,0.022,,,,,,paper,,,,embedded,2026-07-11T01:10:59.565630+00:00,8.3094,961,8.2541,9.0149,9.292,oltp,,
arcadedb_embedded,,,10770243,232.0,6.0,2263.0,2427.6,0.362,10770243,0-11,,232.0,26.8.1.dev0,,,,4g,,,,,,,37590.1,1.33,,,,,,,l1,20260711T010336Z,8g,,,,,50000,52.835,41.494,40.125,44.625,45.142,224.221,,,2263.0,2427.6,,,,,,,,,,0,,,,,,,2,l1_arcadedb_embedded_olap_r2,,,,tiny,0.164,,,,,,paper,,,,embedded,2026-07-11T01:11:21.190877+00:00,,,,,,olap,,
arcadedb_graph_embedded,,3.29,12392135,1777.9,51.3,1777.9,1838.4,0.513,12392135,0-11,,1777.9,26.8.1.dev0,67.89,52.6,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,,1777.9,1838.4,,,,,,,,,,0,,,,,,,3,l2_arcadedb_graph_embedded_olap_r3,65.93,54.94,10,tiny,,,,,,,paper,16.36,13.07,10,embedded,2026-07-11T01:11:25.774081+00:00,,,,,,olap,,
neo4j_graph,,5.58,3474609,80.7,1.0,87.6,93.6,0.729,39214100,0-11,,4714.0,neo4j-driver:6.2.0,,,,4g,5.618,6.863,7.36,4.79,7.176,8.161,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,4.67,4720.9,5081.5,6.271,10.159,17.273,,,,,,,0,,,,,,,3,l2_neo4j_graph_oltp_r3,,,,tiny,,35739491,4633.3,326.8,4633.3,4988.0,paper,,,,client_server,2026-07-11T01:11:31.343228+00:00,,,,,,oltp,8.387,13.678
neo4j_graph,,5.63,3471098,88.4,1.0,88.4,94.8,0.722,39265748,0-11,,4696.4,neo4j-driver:6.2.0,,,,4g,5.657,6.879,7.861,4.699,7.123,8.703,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,4.71,4696.4,5058.8,6.197,11.149,16.226,,,,,,,0,,,,,,,1,l2_neo4j_graph_oltp_r1,,,,tiny,,35794650,4608.0,326.6,4608.0,4964.0,paper,,,,client_server,2026-07-11T01:11:53.107405+00:00,,,,,,oltp,8.483,13.835
elasticsearch_sparse,5764.0,17.35,5203610,46.5,0.7,47.1,52.9,0.781,65523203,0-11,30000,3093.5,9.4.1,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,0.75,100000,,200,,,,,,,,,,3399.8,3464.3,,,,377.4,2.65,195,2.414,3.704,4.613,0,,,,,,0.946,4,l3s_elasticsearch_sparse_search_r4,,,,tiny,,60319593,3047.0,27.3,3352.7,3411.4,paper,,,,client_server,2026-07-11T01:12:14.881578+00:00,,,,,,search,,
