backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
neo4j_graph,,5.56,3088020,88.4,1.0,88.4,94.4,0.755,31276428,0-11,,4647.4,neo4j-driver:6.2.0,65.59,62.44,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,,4647.4,5007.3,,,,,,,,,,0,,,,,,,3,l2_neo4j_graph_olap_r3,61.47,59.44,10,tiny,,28188408,4558.9,326.9,4558.9,4912.9,paper,42.1,35.12,10,client_server,2026-07-11T01:03:37.948852+00:00,,,,,,olap,,
milvus_sparse,18844.4,5.31,5034733,71.0,1.0,71.0,78.2,1.75,9609411,0-11,30000,549.2,milvus,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,0.75,100000,,200,,,,,,,,,,549.2,628.1,,,,1201.8,0.832,195,0.807,0.938,1.326,0,,,,,,1.0,5,l3s_milvus_sparse_search_r5,,,,tiny,,4574678,478.2,59.4,478.2,549.9,paper,,,,client_server,2026-07-11T01:03:56.542188+00:00,,,,,,search,,
elasticsearch_sparse,5770.9,17.33,5242320,46.5,0.7,47.1,52.5,0.726,63846614,0-11,30000,2688.0,9.4.1,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T010336Z,8g,0.75,100000,,200,,,,,,,,,,2688.6,2857.9,,,,377.1,2.652,195,2.351,4.26,5.023,0,,,,,,0.946,5,l3s_elasticsearch_sparse_search_r5,,,,tiny,,58604294,2641.5,27.4,2641.5,2805.5,paper,,,,client_server,2026-07-11T01:04:06.219938+00:00,,,,,,search,,
arcadedb_graph_embedded,,3.31,12704709,2022.1,14.8,2022.1,2083.3,0.519,12704709,0-11,,2022.1,26.8.1.dev0,78.81,62.33,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,,2022.1,2083.3,,,,,,,,,,0,,,,,,,5,l2_arcadedb_graph_embedded_olap_r5,69.96,54.72,10,tiny,,,,,,,paper,12.85,9.65,10,embedded,2026-07-11T01:04:42.711961+00:00,,,,,,olap,,
neo4j_graph,,5.65,3160456,88.5,1.0,88.5,94.5,0.733,32040607,0-11,,4661.4,neo4j-driver:6.2.0,65.56,64.48,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,,4661.4,5021.5,,,,,,,,,,0,,,,,,,1,l2_neo4j_graph_olap_r1,61.27,60.38,10,tiny,,28880151,4572.9,326.5,4572.9,4927.0,paper,43.06,34.71,10,client_server,2026-07-11T01:04:48.557230+00:00,,,,,,olap,,
arcadedb_server,,,380681,17.3,0.1,17.5,20.0,0.05,13102039,0-11,,2522.8,server:latest,,,,4g,,,,,,,30342.0,1.65,,,,,,,l1,20260711T010336Z,8g,0.75,,,,50000,75.615,42.519,34.252,36.912,56.553,245.851,,,2548.4,2616.9,,,,,,,,,,0,,,,,,,2,l1_arcadedb_server_olap_r2,,,,tiny,0.193,12721358,2505.5,52.7,2530.9,2596.9,paper,,,,client_server,2026-07-11T01:05:07.065351+00:00,,,,,,olap,,
neo4j_graph,,5.59,3472376,87.7,1.0,87.7,94.4,0.766,39136510,0-11,,4712.9,neo4j-driver:6.2.0,,,,4g,5.725,7.077,7.667,4.937,7.308,8.261,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,4.72,4712.9,5074.4,6.232,9.484,13.698,,,,,,,0,,,,,,,4,l2_neo4j_graph_oltp_r4,,,,tiny,,35664134,4625.2,326.8,4625.2,4980.0,paper,,,,client_server,2026-07-11T01:05:13.569015+00:00,,,,,,oltp,8.34,13.6
ladybug_graph,,0.37,5529355,240.5,5.4,240.5,249.9,0.131,5529355,0-11,,240.5,ladybug:0.18.1,,,,4g,1.113,1.222,1.443,4.33,4.668,4.959,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,2.12,240.5,249.9,0.152,0.2,0.244,,,,,,,0,,,,,,,5,l2_ladybug_graph_oltp_r5,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:05:35.333283+00:00,,,,,,oltp,9.868,11.009
ladybug_graph,,0.36,739484,186.3,5.4,186.3,231.6,0.13,739484,0-11,,186.3,ladybug:0.18.1,9.59,9.23,10,4g,,,,,,,,,,,,,,,l2,20260711T010336Z,8g,,,10000,,,,,,,,,,,186.3,231.6,,,,,,,,,,0,,,,,,,2,l2_ladybug_graph_olap_r2,9.94,9.49,10,tiny,,,,,,,paper,0.95,0.87,10,embedded,2026-07-11T01:05:38.649700+00:00,,,,,,olap,,
neo4j_graph,,5.57,3445035,88.5,1.0,88.5,95.1,0.732,39074012,0-11,,4696.5,neo4j-driver:6.2.0,,,,4g,5.731,7.669,9.104,4.994,6.892,9.031,,,,,,,,,l2,20260711T010336Z,8g,0.75,,10000,,,,,,,,,,4.82,4696.5,5057.2,6.512,9.618,15.378,,,,,,,0,,,,,,,2,l2_neo4j_graph_oltp_r2,,,,tiny,,35628977,4608.0,326.7,4608.0,4962.1,paper,,,,client_server,2026-07-11T01:05:39.965605+00:00,,,,,,oltp,8.641,13.922
