backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
ladybug_graph,0.43,5520165,240.1,0.136,5520165,0-11,real_ladybug:0.15.3,,,,4g,1.07,1.187,1.492,4.219,4.518,4.708,l2,20260707T203801Z,8g,,10000,2.16,240.1,0.133,0.181,0.219,0,5,l2_ladybug_graph_oltp_r5,,,,tiny,,,paper,,,,embedded,2026-07-07T20:40:59.145138+00:00,oltp,9.586,18.173
ladybug_graph,0.42,1146154,240.5,0.137,1146154,0-11,real_ladybug:0.15.3,9.07,8.6,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,240.5,,,,0,1,l2_ladybug_graph_olap_r1,9.23,8.74,10,tiny,,,paper,3.97,3.67,10,embedded,2026-07-07T20:41:02.808323+00:00,olap,,
neo4j_graph,5.8,3203750,93.9,0.754,32386027,0-11,neo4j-driver:6.2.0,65.73,64.44,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,5039.1,,,,0,2,l2_neo4j_graph_olap_r2,60.65,57.74,10,tiny,29182277,4945.2,paper,42.35,35.82,10,client_server,2026-07-07T20:41:04.512339+00:00,olap,,
arcadedb_graph_server,7.33,787403,22.0,0.24,28116067,0-11,server:latest,,,,4g,1.602,2.179,2.897,1.855,2.503,3.245,l2,20260707T203801Z,8g,0.75,10000,1.91,3580.7,1.49,1.963,2.34,0,4,l2_arcadedb_graph_server_oltp_r4,,,,tiny,27328664,3558.7,paper,,,,client_server,2026-07-07T20:41:23.512680+00:00,oltp,6.492,8.852
neo4j_graph,5.66,3504911,94.9,0.729,39557464,0-11,neo4j-driver:6.2.0,,,,4g,5.526,6.838,7.272,4.626,7.077,8.386,l2,20260707T203801Z,8g,0.75,10000,4.7,5071.9,6.486,11.35,16.626,0,3,l2_neo4j_graph_oltp_r3,,,,tiny,36052553,4977.0,paper,,,,client_server,2026-07-07T20:41:35.890915+00:00,oltp,8.455,13.879
neo4j_graph,5.98,3548065,94.9,0.774,39532954,0-11,neo4j-driver:6.2.0,,,,4g,5.714,7.106,7.661,4.646,6.793,8.002,l2,20260707T203801Z,8g,0.75,10000,4.98,5084.8,6.265,10.09,15.804,0,1,l2_neo4j_graph_oltp_r1,,,,tiny,35984889,4989.9,paper,,,,client_server,2026-07-07T20:41:57.767820+00:00,oltp,11.259,22.933
ladybug_graph,0.39,5525433,243.8,0.12,5525433,0-11,real_ladybug:0.15.3,,,,4g,1.076,1.176,1.252,4.174,4.455,4.545,l2,20260707T203801Z,8g,,10000,2.48,243.8,0.135,0.182,0.225,0,2,l2_ladybug_graph_oltp_r2,,,,tiny,,,paper,,,,embedded,2026-07-07T20:42:20.387567+00:00,oltp,14.622,19.294
ladybug_graph,0.46,1120385,236.0,0.154,1120385,0-11,real_ladybug:0.15.3,9.13,8.88,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,236.0,,,,0,3,l2_ladybug_graph_olap_r3,9.68,9.45,10,tiny,,,paper,4.51,4.31,10,embedded,2026-07-07T20:42:24.210800+00:00,olap,,
neo4j_graph,5.91,3193680,94.2,0.721,31822694,0-11,neo4j-driver:6.2.0,69.56,67.84,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,5007.6,,,,0,5,l2_neo4j_graph_olap_r5,64.48,60.07,10,tiny,28629014,4913.4,paper,44.07,38.49,10,client_server,2026-07-07T20:42:25.801971+00:00,olap,,
arcadedb_graph_server,8.63,435589,22.2,0.242,28092518,0-11,server:latest,61.3,54.87,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,3657.9,,,,0,5,l2_arcadedb_graph_server_olap_r5,58.53,53.63,10,tiny,27656929,3635.7,paper,18.64,14.2,10,client_server,2026-07-07T20:42:44.745939+00:00,olap,,
arcadedb_graph_server,8.47,421163,22.1,0.246,27724073,0-11,server:latest,64.55,57.81,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,3665.0,,,,0,2,l2_arcadedb_graph_server_olap_r2,58.56,55.92,10,tiny,27302910,3642.8,paper,19.06,16.0,10,client_server,2026-07-07T20:42:57.436901+00:00,olap,,
