backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,k,lane,manifest,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
milvus_sparse,2908.3,1.72,1739572,78.0,2.136,4065178,0-11,30000,milvus,10,l3s,20260707T100032Z,0.75,5000,50,224.1,878.9,1.138,45,0.993,1.921,2.047,0,1.0,1,l3s_milvus_sparse_search_r1,micro,2325606,146.2,paper,client_server,2026-07-07T10:00:32.906734+00:00,search
arcadedb_sparse_server,6073.9,0.82,1352998,28.3,0.256,8971797,0-11,30000,server:latest,10,l3s,20260707T100032Z,0.75,5000,50,757.2,304.4,3.285,45,3.112,4.419,4.607,0,1.0,1,l3s_arcadedb_sparse_server_search_r1,micro,7618799,728.9,paper,client_server,2026-07-07T10:00:39.805953+00:00,search
qdrant_sparse,30120.8,0.17,1682920,73.1,0.888,1990508,0-11,30000,qdrant,10,l3s,20260707T100032Z,0.75,5000,50,169.8,1520.7,0.658,45,0.642,0.783,0.901,0,1.0,1,l3s_qdrant_sparse_search_r1,micro,307588,96.7,paper,client_server,2026-07-07T10:00:43.922538+00:00,search
elasticsearch_sparse,3625.9,1.38,1558944,52.5,0.821,32498058,0-11,30000,9.0.0,10,l3s,20260707T100032Z,0.75,5000,50,2644.0,330.1,3.029,45,3.04,3.75,3.994,0,0.992,1,l3s_elasticsearch_sparse_search_r1,micro,30939114,2591.6,paper,client_server,2026-07-07T10:00:47.837143+00:00,search
arcadedb_sparse_embedded,10480.6,0.48,4988674,275.4,0.482,4988674,0-11,30000,26.7.2.dev0,10,l3s,20260707T100032Z,,5000,50,275.4,789.8,1.266,45,1.27,1.7,1.873,0,1.0,1,l3s_arcadedb_sparse_embedded_search_r1,micro,,,paper,embedded,2026-07-07T10:00:59.995078+00:00,search
