backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
arcadedb_graph_server,7.63,386694,21.9,0.248,23021618,0-11,server:latest,55.83,51.66,10,4g,,,,,,,l2,20260707T144703Z,8g,0.75,10000,,3641.9,,,,0,1,l2_arcadedb_graph_server_olap_r1,54.89,54.3,10,tiny,22634924,3620.0,paper,14.45,11.4,10,client_server,2026-07-07T14:47:03.554768+00:00,olap,,
neo4j_graph,5.68,3334740,103.1,0.77,37908321,0-11,neo4j-driver:6.2.0,,,,4g,4.921,5.775,6.353,4.477,6.267,7.708,l2,20260707T144703Z,8g,0.75,10000,4.1,5078.4,5.247,8.876,12.728,0,1,l2_neo4j_graph_oltp_r1,,,,tiny,34573581,4975.3,paper,,,,client_server,2026-07-07T14:47:14.548646+00:00,oltp,7.715,11.958
ladybug_graph,0.32,2680400,177.2,0.12,2680400,0-11,real_ladybug:0.15.3,,,,4g,1.107,1.428,1.682,2.974,3.526,3.913,l2,20260707T144703Z,8g,,10000,1.48,177.2,0.154,0.256,0.396,0,1,l2_ladybug_graph_oltp_r1,,,,tiny,,,paper,,,,embedded,2026-07-07T14:47:33.419243+00:00,oltp,6.124,8.43
ladybug_graph,0.33,660914,179.0,0.12,660914,0-11,real_ladybug:0.15.3,8.02,7.52,10,4g,,,,,,,l2,20260707T144703Z,8g,,10000,,179.0,,,,0,1,l2_ladybug_graph_olap_r1,8.35,7.62,10,tiny,,,paper,3.0,2.52,10,embedded,2026-07-07T14:47:35.913572+00:00,olap,,
arcadedb_graph_server,6.94,783026,22.4,0.282,26042765,0-11,server:latest,,,,4g,1.72,2.648,3.76,2.086,3.08,3.524,l2,20260707T144703Z,8g,0.75,10000,1.94,3710.6,1.291,2.541,2.903,0,1,l2_arcadedb_graph_server_oltp_r1,,,,tiny,25259739,3688.2,paper,,,,client_server,2026-07-07T14:47:37.101521+00:00,oltp,6.327,7.561
neo4j_graph,6.49,3233937,95.2,0.794,31850780,0-11,neo4j-driver:6.2.0,66.91,65.7,10,4g,,,,,,,l2,20260707T144703Z,8g,0.75,10000,,5060.4,,,,0,1,l2_neo4j_graph_olap_r1,61.43,59.95,10,tiny,28616843,4965.2,paper,39.63,35.98,10,client_server,2026-07-07T14:47:48.607885+00:00,olap,,
arcadedb_graph_embedded,2.12,11460575,1454.3,0.566,11460575,0-11,26.7.2.dev0,,,,4g,0.597,0.834,0.982,1.115,2.23,2.522,l2,20260707T144703Z,8g,,10000,1.13,1454.3,0.471,0.68,0.983,0,1,l2_arcadedb_graph_embedded_oltp_r1,,,,tiny,,,paper,,,,embedded,2026-07-07T14:48:06.376895+00:00,oltp,4.648,8.149
arcadedb_graph_embedded,3.18,11886025,1918.9,0.508,11886025,0-11,26.7.2.dev0,90.68,86.47,10,4g,,,,,,,l2,20260707T144703Z,8g,,10000,,1918.9,,,,0,1,l2_arcadedb_graph_embedded_olap_r1,54.05,51.05,10,tiny,,,paper,16.81,9.53,10,embedded,2026-07-07T14:48:10.813243+00:00,olap,,
