backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,heap,k,lane,manifest,mem_cap,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
arcadedb_sparse_server,5005.0,1.0,703174,27.3,0.292,9001442,6-11,30000,server:latest,4g,10,l3s,20260707T143654Z,8g,0.75,5000,50,608.1,295.0,3.389,45,3.364,4.263,4.329,0,1.0,1,l3s_arcadedb_sparse_server_search_r1,micro,8298268,580.8,sweep,client_server,2026-07-07T14:36:54.745827+00:00,search
milvus_sparse,2966.5,1.69,905776,169.0,2.513,1949112,0-5,30000,milvus,4g,10,l3s,20260707T143654Z,8g,0.75,5000,50,554.7,1556.6,0.642,45,0.613,0.855,1.041,0,1.0,1,l3s_milvus_sparse_search_r1,micro,1043336,385.6,sweep,client_server,2026-07-07T14:36:54.745682+00:00,search
qdrant_sparse,22012.0,0.23,1324393,84.5,0.929,1517625,6-11,30000,qdrant,4g,10,l3s,20260707T143654Z,8g,0.75,5000,50,198.9,1505.8,0.664,45,0.636,0.805,0.99,0,1.0,1,l3s_qdrant_sparse_search_r1,micro,193232,114.5,sweep,client_server,2026-07-07T14:36:59.954029+00:00,search
arcadedb_sparse_embedded,7833.1,0.64,4856759,419.8,0.678,4856759,6-11,30000,26.7.2.dev0,4g,10,l3s,20260707T143654Z,8g,,5000,50,419.8,596.7,1.676,45,1.731,2.333,2.507,0,1.0,1,l3s_arcadedb_sparse_embedded_search_r1,micro,,,sweep,embedded,2026-07-07T14:37:03.291621+00:00,search
elasticsearch_sparse,4678.0,1.07,811196,56.2,0.638,25637018,0-5,30000,9.0.0,4g,10,l3s,20260707T143654Z,8g,0.75,5000,50,2782.4,318.0,3.145,45,3.206,4.027,4.237,0,0.994,1,l3s_elasticsearch_sparse_search_r1,micro,24825822,2726.2,sweep,client_server,2026-07-07T14:37:01.368956+00:00,search
