backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
ladybug_graph,0.12,302629,163.1,0.113,302629,0-11,ladybug:0.18.1,3.12,2.9,10,4g,,,,,,,l2,20260710T081923Z,8g,2000,,163.1,,,,0,1,l2_ladybug_graph_olap_r1,2.88,2.52,10,micro,paper,0.61,0.51,10,embedded,2026-07-10T08:19:23.786128+00:00,olap,,
ladybug_graph,0.12,841665,170.9,0.117,841665,0-11,ladybug:0.18.1,,,,4g,0.748,1.056,1.129,2.555,2.828,2.889,l2,20260710T081923Z,8g,2000,0.48,170.9,0.135,0.196,0.279,0,1,l2_ladybug_graph_oltp_r1,,,,micro,paper,,,,embedded,2026-07-10T08:19:24.738350+00:00,oltp,5.864,6.132
