backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
ladybug_graph,0.13,298511,160.2,0.112,298511,0-11,real_ladybug:0.15.3,2.97,2.84,10,4g,,,,,,,l2,20260707T144650Z,8g,2000,,160.2,,,,0,1,l2_ladybug_graph_olap_r1,3.18,2.95,10,micro,paper,1.8,1.66,10,embedded,2026-07-07T14:46:50.347738+00:00,olap,,
ladybug_graph,0.14,841363,160.0,0.11,841363,0-11,real_ladybug:0.15.3,,,,4g,0.649,0.859,1.156,2.488,2.833,2.866,l2,20260707T144650Z,8g,2000,0.49,160.0,0.165,0.246,0.366,0,1,l2_ladybug_graph_oltp_r1,,,,micro,paper,,,,embedded,2026-07-07T14:46:51.291345+00:00,oltp,5.975,6.924
