backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
arcadedb_sparse_embedded,17570.4,5.69,18221647,2028.6,44.2,2797.9,2896.0,0.478,18221647,0-11,30000,2028.6,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T005729Z,8g,,100000,,200,,,,,,,,,,2797.9,2896.0,,,,611.0,1.637,195,1.517,2.434,3.451,0,,,,,,0.996,1,l3s_arcadedb_sparse_embedded_search_r1,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T00:57:31.195872+00:00,,,,,,search,,
ladybug_graph,,0.36,755822,202.0,5.4,202.0,235.9,0.122,755822,0-11,,202.0,ladybug:0.18.1,9.42,8.85,10,4g,,,,,,,,,,,,,,,l2,20260711T005729Z,8g,,,10000,,,,,,,,,,,202.0,235.9,,,,,,,,,,0,,,,,,,1,l2_ladybug_graph_olap_r1,9.56,9.36,10,tiny,,,,,,,paper,0.89,0.75,10,embedded,2026-07-11T00:57:43.543617+00:00,,,,,,olap,,
arcadedb_server,,,2703105,17.5,0.1,17.5,20.8,0.05,17766751,0-11,,2690.9,server:latest,,,,4g,,,,,,,31831.6,1.57,1.3071,979,1.32,1.7542,1.9877,,l1,20260711T005729Z,8g,0.75,,,,50000,,,,,,,1155.6,,2692.4,2848.1,,,,,,,,,,0,0.7245,3060,0.6848,1.0241,1.268,,1,l1_arcadedb_server_oltp_r1,,,,tiny,0.184,15063646,2673.5,31.4,2674.9,2827.3,paper,,,,client_server,2026-07-11T00:57:44.865358+00:00,0.8636,961,0.8288,1.235,1.48,oltp,,
ladybug_graph,,0.36,5525474,224.3,5.4,224.3,240.4,0.134,5525474,0-11,,224.3,ladybug:0.18.1,,,,4g,1.131,1.299,1.599,4.342,4.634,4.755,,,,,,,,,l2,20260711T005729Z,8g,,,10000,,,,,,,,,,2.1,224.3,240.4,0.153,0.214,0.253,,,,,,,0,,,,,,,1,l2_ladybug_graph_oltp_r1,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T00:58:01.541117+00:00,,,,,,oltp,9.641,10.585
duckdb,,,1492659,110.8,3.5,110.8,120.2,0.052,1492659,0-11,,110.8,1.5.4,,,,4g,,,,,,,116866.5,0.43,,,,,,,l1,20260711T005729Z,8g,,,,,50000,2.037,0.711,0.353,2.039,0.935,6.075,,,110.8,120.2,,,,,,,,,,0,,,,,,,1,l1_duckdb_olap_r1,,,,tiny,0.022,,,,,,paper,,,,embedded,2026-07-11T00:58:04.874836+00:00,,,,,,olap,,
neo4j_graph,,5.63,3140797,87.6,1.0,87.6,93.9,0.77,32638711,0-11,,4667.8,neo4j-driver:6.2.0,65.94,64.8,10,4g,,,,,,,,,,,,,,,l2,20260711T005729Z,8g,0.75,,10000,,,,,,,,,,,4667.8,5185.6,,,,,,,,,,0,,,,,,,1,l2_neo4j_graph_olap_r1,64.42,62.15,10,tiny,,29497914,4580.2,483.5,4580.2,5091.6,paper,43.58,34.37,10,client_server,2026-07-11T00:58:06.212295+00:00,,,,,,olap,,
arcadedb_sparse_embedded_fp32,17845.0,5.6,17857649,2800.5,94.4,2800.5,2907.5,0.472,17857649,0-11,30000,2800.5,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T005729Z,8g,,100000,,200,,,,,,,,,,2800.5,2907.5,,,,623.2,1.605,195,1.461,2.579,3.343,0,,,,,,1.0,1,l3s_arcadedb_sparse_embedded_fp32_search_r1,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T00:58:24.761960+00:00,,,,,,search,,
neo4j_graph,,5.6,3430020,87.7,1.0,87.7,94.4,0.725,39897933,0-11,,4714.1,neo4j-driver:6.2.0,,,,4g,5.806,7.845,8.544,4.798,7.172,8.337,,,,,,,,,l2,20260711T005729Z,8g,0.75,,10000,,,,,,,,,,4.74,4714.1,5074.6,6.236,10.443,15.578,,,,,,,0,,,,,,,1,l2_neo4j_graph_oltp_r1,,,,tiny,,36467913,4626.4,326.6,4626.4,4980.2,paper,,,,client_server,2026-07-11T00:58:36.824136+00:00,,,,,,oltp,8.236,13.587
elasticsearch_sparse,5724.9,17.47,5123494,46.5,0.8,47.1,52.5,0.745,64884506,0-11,30000,3123.2,9.4.1,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T005729Z,8g,0.75,100000,,200,,,,,,,,,,3424.5,3492.0,,,,400.2,2.499,195,2.372,3.645,4.371,0,,,,,,0.946,1,l3s_elasticsearch_sparse_search_r1,,,,tiny,,59761012,3076.7,27.5,3377.4,3439.5,paper,,,,client_server,2026-07-11T00:58:58.695055+00:00,,,,,,search,,
postgres,,,1693472,22.0,0.8,22.0,25.3,0.117,3106496,0-11,,28.2,17.10 (Debian 17.10-1.pgdg13+1),,,,4g,,,,,,,361624.9,0.14,2.4991,979,2.4032,3.1155,3.2428,,l1,20260711T005729Z,8g,0.75,,,,50000,,,,,,,853.0,,28.3,122.2,,,,,,,,,,0,0.3524,3060,0.3663,0.6646,0.767,,1,l1_postgres_oltp_r1,,,,tiny,0.018,1413024,6.2,83.5,6.3,96.9,paper,,,,client_server,2026-07-11T01:00:04.991704+00:00,2.4314,961,2.3341,3.0902,3.2046,oltp,,
arcadedb_graph_embedded,,3.32,12372183,1943.1,14.8,1943.1,2007.0,0.542,12372183,0-11,,1943.1,26.8.1.dev0,74.66,53.89,10,4g,,,,,,,,,,,,,,,l2,20260711T005729Z,8g,,,10000,,,,,,,,,,,1943.1,2007.0,,,,,,,,,,0,,,,,,,1,l2_arcadedb_graph_embedded_olap_r1,71.16,53.06,10,tiny,,,,,,,paper,13.65,9.41,10,embedded,2026-07-11T01:00:14.699984+00:00,,,,,,olap,,
arcadedb_embedded,,,10303891,2305.7,52.7,2305.7,2368.8,0.353,10303891,0-11,,2305.7,26.8.1.dev0,,,,4g,,,,,,,38731.8,1.29,,,,,,,l1,20260711T005729Z,8g,,,,,50000,51.766,41.479,41.13,45.412,48.344,228.131,,,2305.7,2368.8,,,,,,,,,,0,,,,,,,1,l1_arcadedb_embedded_olap_r1,,,,tiny,0.161,,,,,,paper,,,,embedded,2026-07-11T01:00:20.506870+00:00,,,,,,olap,,
