backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
arcadedb_sparse_server,9694.9,10.31,3560222,24.7,0.1,25.0,29.6,5.917,35839122,0-11,30000,2963.8,server:26.8.1-SNAPSHOT (build d758998ce9854d21aadce81987cd1dc036488c49/1783718348989/main),,,,4g,,,,,,,,,,,,,,10,l3s,20260711T005729Z,8g,0.75,100000,,200,,,,,,,,,,2964.1,3063.2,,,,341.9,2.925,195,2.812,3.798,4.128,0,,,,,,0.996,1,l3s_arcadedb_sparse_server_search_r1,,,,tiny,,32278900,2939.1,79.2,2939.1,3033.6,paper,,,,client_server,2026-07-11T01:00:25.122055+00:00,,,,,,search,,
arcadedb_graph_server,,8.54,428894,18.6,0.1,19.0,22.0,0.233,27630031,0-11,,3547.0,server:latest,64.79,56.07,10,4g,,,,,,,,,,,,,,,l2,20260711T005729Z,8g,0.75,,10000,,,,,,,,,,,3550.6,3631.2,,,,,,,,,,0,,,,,,,1,l2_arcadedb_graph_server_olap_r1,59.44,57.56,10,tiny,,27201137,3528.4,51.6,3531.6,3609.3,paper,16.14,12.34,10,client_server,2026-07-11T01:00:50.242931+00:00,,,,,,olap,,
arcadedb_graph_server,,7.65,774892,18.6,0.1,19.0,22.2,0.245,29272418,0-11,,3613.8,server:latest,,,,4g,1.457,2.079,2.94,2.016,2.781,3.871,,,,,,,,,l2,20260711T005729Z,8g,0.75,,10000,,,,,,,,,,1.43,3623.1,3715.8,1.476,2.148,2.31,,,,,,,0,,,,,,,1,l2_arcadedb_graph_server_oltp_r1,,,,tiny,,28497526,3595.2,15.2,3604.1,3693.7,paper,,,,client_server,2026-07-11T01:01:02.559936+00:00,,,,,,oltp,1.938,2.504
milvus_sparse,18743.2,5.34,5115852,71.0,1.0,71.0,78.8,1.923,9969740,0-11,30000,350.8,milvus,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T005729Z,8g,0.75,100000,,200,,,,,,,,,,553.7,646.4,,,,1213.8,0.824,195,0.813,0.976,1.065,0,,,,,,1.0,1,l3s_milvus_sparse_search_r1,,,,tiny,,4853888,279.7,62.9,482.7,567.6,paper,,,,client_server,2026-07-11T01:01:14.393507+00:00,,,,,,search,,
duckdb,,,9114228,101.6,6.8,108.2,120.5,0.053,9114228,0-11,,101.6,1.5.4,,,,4g,,,,,,,110543.1,0.45,8.7983,979,8.7438,9.6449,10.7224,,l1,20260711T005729Z,8g,,,,,50000,,,,,,,254.7,,108.2,120.5,,,,,,,,,,0,0.9807,3060,0.845,1.5918,1.7483,,1,l1_duckdb_oltp_r1,,,,tiny,0.024,,,,,,paper,,,,embedded,2026-07-11T01:01:24.351036+00:00,8.3451,961,8.2935,9.0945,10.0018,oltp,,
arcadedb_sparse_embedded_nocompact,18510.8,5.4,17287609,4.1,47.0,2807.0,2908.2,0.481,17287609,0-11,30000,4.1,26.8.1.dev0,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T005729Z,8g,,100000,,200,,,,,,,,,,2807.0,2908.2,,,,560.6,1.784,195,1.571,3.152,3.7,0,,,,,,0.996,1,l3s_arcadedb_sparse_embedded_nocompact_search_r1,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:01:46.233359+00:00,,,,,,search,,
postgres,,,279941,21.9,0.8,21.9,24.5,0.116,1147257,0-11,,25.9,17.10 (Debian 17.10-1.pgdg13+1),,,,4g,,,,,,,369148.5,0.14,,,,,,,l1,20260711T005729Z,8g,0.75,,,,50000,4.698,2.589,2.498,4.254,3.544,17.583,,,28.1,122.7,,,,,,,,,,0,,,,,,,1,l1_postgres_olap_r1,,,,tiny,0.018,867316,4.1,83.6,6.3,98.2,paper,,,,client_server,2026-07-11T01:01:58.067062+00:00,,,,,,olap,,
arcadedb_graph_embedded,,2.24,11495074,1083.5,14.9,1083.5,1175.9,0.552,11495074,0-11,,1083.5,26.8.1.dev0,,,,4g,0.626,0.879,1.242,1.001,2.064,2.42,,,,,,,,,l2,20260711T005729Z,8g,,,10000,,,,,,,,,,0.65,1083.5,1175.9,0.49,0.692,0.794,,,,,,,0,,,,,,,1,l2_arcadedb_graph_embedded_oltp_r1,,,,tiny,,,,,,,paper,,,,embedded,2026-07-11T01:02:01.805237+00:00,,,,,,oltp,0.926,1.174
arcadedb_embedded,,,9382998,2679.9,319.1,2679.9,3018.5,0.358,9382998,0-11,,2679.9,26.8.1.dev0,,,,4g,,,,,,,38219.4,1.31,0.5756,979,0.6112,0.7212,0.7933,,l1,20260711T005729Z,8g,,,,,50000,,,,,,,4762.3,,2679.9,3018.5,,,,,,,,,,0,0.0837,3060,0.0781,0.1406,0.1798,,1,l1_arcadedb_embedded_oltp_r1,,,,tiny,0.162,,,,,,paper,,,,embedded,2026-07-11T01:02:06.122498+00:00,0.2397,961,0.2433,0.3792,0.4615,oltp,,
arcadedb_server,,,382312,17.3,0.1,17.5,21.0,0.049,13305722,0-11,,2381.3,server:latest,,,,4g,,,,,,,30200.0,1.66,,,,,,,l1,20260711T005729Z,8g,0.75,,,,50000,77.296,37.736,32.138,35.114,55.62,237.904,,,2398.9,2468.3,,,,,,,,,,0,,,,,,,1,l1_arcadedb_server_olap_r1,,,,tiny,0.197,12923410,2364.0,52.8,2381.4,2447.3,paper,,,,client_server,2026-07-11T01:02:09.969327+00:00,,,,,,olap,,
qdrant_sparse,35154.8,2.84,3905916,67.2,1.0,67.2,73.6,0.763,6263358,0-11,30000,258.8,qdrant,,,,4g,,,,,,,,,,,,,,10,l3s,20260711T005729Z,8g,0.75,100000,,200,,,,,,,,,,258.8,328.0,,,,1293.5,0.773,195,0.759,0.887,2.256,0,,,,,,1.0,1,l3s_qdrant_sparse_search_r1,,,,tiny,,2357442,191.6,55.5,191.6,254.4,paper,,,,client_server,2026-07-11T01:02:16.522218+00:00,,,,,,search,,
