backend,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,error,ingest_rows_per_s,ingest_s,lane,manifest,mem_split,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,peak_mib_sum,rc,rep,run_id,scale,schema_s,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
arcadedb_server,382829,33.1,,8886243,0-11,,"Traceback (most recent call last):
  File ""/work/l1_tabular.py"", line 384, in <module>
    main()
  File ""/work/l1_tabular.py"", line 374, in main
    out.update(b.oltp(n))
               ^^^^^^^^^
  File ""/work/l1_tabular.py"", line 132, in oltp
    self.exec(ins_sql, (next_id,) + row[1:])
  File ""/work/l1_tabular.py"", line 304, in exec
    self._post(""command"", sql, params)
  File ""/work/l1_tabular.py"", line 297, in _post
    r.raise_for_status()
  File ""/usr/local/lib/python3.12/site-packages/requests/models.py"", line 1167, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 500 Server Error: Internal Server Error for url: http://srv-l1_arcadedb_server_oltp_r1:2480/api/v1/command/bench
",,,l1,20260706T211128Z,0.75,,,,,,,,1113.7,1,1,l1_arcadedb_server_oltp_r1,tiny,,8503414,1080.5,paper,client_server,2026-07-06T21:11:29.080062+00:00,oltp
arcadedb_embedded,,,,,0-11,,client_failed_to_start,,,l1,20260706T211128Z,,,,,,,,,,,1,l1_arcadedb_embedded_olap_r1,tiny,,,,paper,embedded,2026-07-06T21:11:33.300567+00:00,olap
arcadedb_server,412010,23.3,0.099,13249711,0-11,server:latest,,33200.6,1.51,l1,20260706T211128Z,0.75,50000,62.775,42.293,31.053,36.091,38.578,210.79,1539.8,0,1,l1_arcadedb_server_olap_r1,tiny,0.22,12837701,1516.5,paper,client_server,2026-07-06T21:11:33.324711+00:00,olap
arcadedb_embedded,7634594,380.7,,7634594,0-11,,"Error response from daemon: can not get logs from container which is dead or marked for removal
",,,l1,20260706T211128Z,,,,,,,,,380.7,137,1,l1_arcadedb_embedded_oltp_r1,tiny,,,,paper,embedded,2026-07-06T21:11:39.307864+00:00,oltp
