backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
postgres,,,5901029,22.5,0.7,22.5,25.9,0.116,11134263,0-11,,26.9,17.10 (Debian 17.10-1.pgdg13+1),,,,8g,,,,,,,451954.7,4.43,2.7508,961,2.7351,3.2298,3.5368,,l1,20260711T012458Z,16g,0.75,,,,2000000,,,,,,,765.3,,29.1,857.7,,,,,,,,,,0,0.4195,3088,0.4059,0.7702,0.8442,,1,l1_postgres_oltp_r1,,,,small,0.018,5233234,4.3,799.5,6.5,831.8,paper,,,,client_server,2026-07-11T01:36:15.517908+00:00,2.7284,951,2.732,3.2524,3.5823,oltp,,
ladybug_graph,,2.51,16774705,342.3,46.0,382.2,500.4,0.122,16774705,0-11,,342.3,ladybug:0.18.1,,,,8g,2.306,3.792,4.955,6.601,8.586,10.991,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,5.51,382.2,500.4,0.153,0.195,0.283,,,,,,,0,,,,,,,3,l2_ladybug_graph_oltp_r3,,,,small,,,,,,,paper,,,,embedded,2026-07-11T01:36:30.491510+00:00,,,,,,oltp,9.671,10.707
arcadedb_embedded,,,114752953,51.5,218.3,5553.4,5809.7,0.363,114752953,0-11,,51.5,26.8.1.dev0,,,,8g,,,,,,,43311.9,46.18,,,,,,,l1,20260711T012458Z,16g,,,,,2000000,1673.457,1214.503,1218.351,1304.312,1461.284,6871.907,,,5553.4,5809.7,,,,,,,,,,0,,,,,,,5,l1_arcadedb_embedded_olap_r5,,,,small,0.17,,,,,,paper,,,,embedded,2026-07-11T01:36:39.334932+00:00,,,,,,olap,,
arcadedb_sparse_embedded_nocompact,18602.1,53.76,179457121,2929.1,398.8,6218.7,6700.1,0.492,179457121,0-11,30000,2929.1,26.8.1.dev0,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,,1000000,,500,,,,,,,,,,6218.7,6700.1,,,,112.4,8.893,495,8.719,10.82,11.844,0,,,,,,0.9902,2,l3s_arcadedb_sparse_embedded_nocompact_search_r2,,,,small,,,,,,,paper,,,,embedded,2026-07-11T01:38:22.035470+00:00,,,,,,search,,
arcadedb_graph_embedded,,32.06,56159691,5398.4,152.1,6760.1,7548.3,0.534,56159691,0-11,,5398.4,26.8.1.dev0,609.88,577.83,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,,6760.1,7548.3,,,,,,,,,,0,,,,,,,2,l2_arcadedb_graph_embedded_olap_r2,565.51,549.61,10,small,,,,,,,paper,82.49,78.85,10,embedded,2026-07-11T01:41:10.884865+00:00,,,,,,olap,,
arcadedb_sparse_embedded_fp32,18058.8,55.37,182477971,0.0,476.1,6514.0,7099.7,0.488,182477971,0-11,30000,0.0,26.8.1.dev0,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,,1000000,,500,,,,,,,,,,6514.0,7099.7,,,,151.1,6.619,495,6.329,8.003,9.446,0,,,,,,1.0,4,l3s_arcadedb_sparse_embedded_fp32_search_r4,,,,small,,,,,,,paper,,,,embedded,2026-07-11T01:41:52.300747+00:00,,,,,,search,,
arcadedb_sparse_embedded_fp32,17937.7,55.75,185056732,6489.4,476.1,6489.4,7149.9,0.475,185056732,0-11,30000,6489.4,26.8.1.dev0,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,,1000000,,500,,,,,,,,,,6489.4,7149.9,,,,149.6,6.683,495,6.393,8.107,10.916,0,,,,,,1.0,1,l3s_arcadedb_sparse_embedded_fp32_search_r1,,,,small,,,,,,,paper,,,,embedded,2026-07-11T01:44:44.154660+00:00,,,,,,search,,
arcadedb_sparse_embedded_fp32,18177.3,55.01,180435075,3846.6,476.1,6682.5,7332.5,0.488,180435075,0-11,30000,3846.6,26.8.1.dev0,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,,1000000,,500,,,,,,,,,,6682.5,7332.5,,,,152.8,6.543,495,6.261,7.774,9.558,0,,,,,,1.0,5,l3s_arcadedb_sparse_embedded_fp32_search_r5,,,,small,,,,,,,paper,,,,embedded,2026-07-11T01:47:38.471521+00:00,,,,,,search,,
duckdb,,,9206198,556.5,65.6,765.9,843.5,0.054,9206198,0-11,,556.5,1.5.4,,,,8g,,,,,,,311861.4,6.41,,,,,,,l1,20260711T012458Z,16g,,,,,2000000,2.645,2.598,1.829,2.149,7.886,17.107,,,765.9,843.5,,,,,,,,,,0,,,,,,,2,l1_duckdb_olap_r2,,,,small,0.024,,,,,,paper,,,,embedded,2026-07-11T01:50:27.339280+00:00,,,,,,olap,,
postgres,,,4558261,22.8,0.8,22.8,26.4,0.115,16185720,0-11,,27.1,17.10 (Debian 17.10-1.pgdg13+1),,,,8g,,,,,,,454433.5,4.4,,,,,,,l1,20260711T012458Z,16g,0.75,,,,2000000,75.364,45.135,44.695,69.844,97.47,332.508,,,47.0,870.6,,,,,,,,,,0,,,,,,,3,l1_postgres_olap_r3,,,,small,0.018,11627459,4.3,801.7,24.3,844.2,paper,,,,client_server,2026-07-11T01:50:34.676098+00:00,,,,,,olap,,
